1; Draft.Scratch_smt_check_7_12028; 2026-04-10 13:51:00.172;
bind: 201000,198000,199000,
cong: 149000,73000,101000,209000,
refl: 23000,49000,46000,
trans: 154000,
equiv1: 142000,
equiv2: 167000,
or_neg: 216000,227000,235000,
and_neg: 263000,
and_pos: 164000,192000,
implies: 186000,174000,
not_not: 165000,
parsing: 3497000,
subproof: 1061000,1147000,
poly_simp: 1852000,1853000,1875000,1843000,
equiv_pos2: 88000,90000,139000,94000,186000,
reordering: 355000,
resolution: 209000,188000,272000,262000,294000,285000,193000,274000,199000,425000,460000,365000,308000,314000,481000,211000,250000,267000,192000,286000,
contraction: 225000,353000,240000,253000,
forall_inst: 684000,762000,734000,
implies_neg1: 197000,265000,
implies_neg2: 193000,212000,
__local_input: 165000,88000,61000,
poly_simp_rel: 1031000,993000,1045000,1006000,
equiv_simplify: 239000,228000,
__normalized_input: 10969000,627000,623000,
rare_rewrite_bool-double-not-elim: 185000,

