1; Draft.Scratch_smt_check_7_30444; 2026-04-10 13:48:27.363;
and: 156000,
bind: 348000,271000,283000,305000,
cong: 195000,157000,68000,65000,86000,55000,54000,46000,84000,107000,65000,83000,43000,58000,188000,153000,63000,85000,43000,63000,
refl: 16000,20000,25000,31000,45000,26000,
symm: 86000,
trans: 307000,321000,243000,262000,230000,253000,
or_pos: 349000,
implies: 173000,
parsing: 12406000,
aci_simp: 1163000,1154000,1211000,
subproof: 1152000,
equiv_pos2: 54000,38000,190000,179000,
reordering: 573000,
resolution: 163000,243000,313000,342000,194000,220000,190000,287000,307000,321000,251000,
contraction: 258000,
forall_inst: 956000,869000,747000,
implies_neg1: 259000,
implies_neg2: 284000,
__local_input: 59000,
miniscope_split: 374000,
__normalized_input: 20018000,12249000,12170000,11720000,1790000,1372000,880000,
rare_rewrite_bool-eq-false: 6114000,
rare_rewrite_bool-impl-elim: 6568000,
rare_rewrite_bool-and-de-morgan: 6344000,

