1; Draft.Scratch_smt_check_7_17557; 2026-04-10 13:50:34.377;
and: 132000,118000,149000,179000,
bind: 556000,557000,499000,495000,537000,662000,591000,631000,638000,610000,991000,1127000,1021000,1108000,1150000,1061000,549000,568000,
cong: 441000,94000,304000,442000,78000,91000,44000,59000,59000,55000,70000,71000,64000,273000,361000,212000,185000,155000,143000,280000,379000,142000,122000,122000,407000,340000,330000,81000,73000,69000,394000,372000,314000,430000,258000,246000,213000,207000,706000,141000,303000,264000,221000,686000,1749000,540000,108000,105000,96000,631000,564000,489000,677000,427000,366000,307000,274000,450000,72000,155000,141000,125000,618000,401000,294000,464000,102000,
refl: 27000,25000,37000,21000,39000,36000,20000,44000,400000,209000,47000,38000,26000,40000,242000,55000,50000,90000,102000,73000,43000,65000,441000,91000,77000,77000,47000,
symm: 118000,
trans: 507000,518000,531000,451000,455000,493000,400000,425000,403000,411000,423000,375000,313000,258000,418000,415000,399000,339000,569000,655000,625000,621000,668000,552000,561000,486000,518000,496000,470000,398000,389000,871000,977000,814000,680000,1115000,1060000,1066000,1153000,926000,924000,925000,878000,853000,801000,719000,569000,465000,438000,412000,347000,
equiv1: 528000,
or_pos: 541000,
implies: 1191000,
parsing: 63563000,
aci_simp: 1458000,1541000,1531000,1365000,1518000,1666000,1395000,1215000,2154000,1803000,2499000,2589000,2290000,2166000,3389000,2559000,1233000,1255000,1131000,1135000,
subproof: 4585000,
equiv_pos2: 34000,336000,831000,431000,820000,
reordering: 849000,
resolution: 289000,331000,435000,256000,574000,580000,1174000,1525000,1470000,805000,793000,
contraction: 1672000,
forall_inst: 1286000,
implies_neg1: 843000,
implies_neg2: 1558000,
__local_input: 280000,
connective_def: 1364000,944000,
miniscope_split: 648000,
__normalized_input: 3621000,2928000,3219000,2885000,2605000,
rare_rewrite_eq-symm: 199000,153000,362000,322000,157000,161000,189000,146000,
rare_rewrite_bool-eq-false: 6206000,
rare_rewrite_bool-impl-elim: 9291000,9319000,13299000,
rare_rewrite_bool-and-de-morgan: 6507000,6935000,8059000,8228000,9691000,8370000,10506000,19611000,12444000,13119000,14140000,11699000,11452000,11566000,12056000,12353000,8106000,
rare_rewrite_bool-double-not-elim: 139000,183000,279000,

