1; Draft.Scratch_smt_check_7_18874; 2026-04-10 13:49:06.786;
and: 122000,110000,113000,
bind: 279000,265000,270000,263000,310000,268000,277000,280000,210000,211000,277000,197000,279000,216000,253000,296000,247000,169000,404000,387000,351000,299000,296000,304000,235000,139000,254000,288000,265000,178000,409000,393000,344000,292000,303000,323000,252000,139000,131000,266000,284000,245000,179000,400000,387000,629000,554000,571000,579000,436000,414000,431000,444000,415000,
cong: 118000,80000,115000,65000,62000,118000,84000,115000,64000,55000,193000,142000,121000,95000,118000,68000,61000,123000,94000,115000,67000,54000,197000,140000,93000,87000,91000,82000,156000,75000,89000,204000,209000,61000,160000,214000,57000,278000,152000,169000,64000,435000,128000,241000,183000,375000,158000,65000,83000,55000,102000,57000,250000,226000,188000,186000,333000,4974000,182000,184000,172000,237000,66000,391000,160000,69000,84000,59000,103000,61000,254000,235000,194000,178000,288000,197000,174000,179000,174000,242000,63000,58000,68000,364000,151000,69000,79000,50000,104000,57000,245000,249000,184000,334000,464000,339000,306000,305000,291000,380000,115000,312000,228000,236000,203000,166000,171000,148000,111000,182000,175000,176000,167000,86000,313000,181000,197000,
refl: 33000,32000,32000,32000,32000,30000,25000,31000,25000,29000,31000,37000,65000,30000,78000,60000,21000,28000,433000,27000,266000,21000,24000,115000,114000,86000,87000,86000,94000,88000,31000,24000,29000,416000,30000,244000,23000,28000,174000,108000,87000,90000,85000,91000,96000,30000,18000,21000,28000,442000,27000,250000,23000,26000,106000,111000,81000,82000,82000,88000,154000,46000,55000,47000,38000,61000,43000,48000,41000,63000,39000,53000,40000,56000,
symm: 237000,280000,273000,234000,284000,272000,96000,92000,223000,274000,490000,
trans: 222000,163000,177000,135000,225000,165000,179000,135000,246000,165000,176000,152000,234000,173000,185000,158000,241000,164000,271000,165000,306000,305000,294000,297000,323000,329000,340000,239000,194000,109000,260000,249000,263000,247000,154000,134000,123000,97000,157000,168000,139000,420000,250000,197000,199000,274000,271000,305000,292000,274000,355000,290000,266000,301000,166000,114000,308000,295000,326000,299000,296000,322000,344000,224000,200000,115000,255000,231000,263000,251000,153000,141000,123000,107000,159000,193000,141000,405000,247000,192000,189000,269000,290000,292000,272000,272000,286000,336000,271000,295000,182000,113000,309000,298000,294000,302000,307000,321000,341000,227000,193000,113000,296000,235000,261000,250000,161000,135000,122000,89000,141000,163000,142000,388000,233000,194000,187000,267000,276000,566000,510000,496000,578000,621000,499000,470000,307000,382000,292000,331000,263000,386000,295000,333000,295000,
choice: 64000,
equiv1: 172000,
equiv2: 156000,102000,
or_neg: 153000,151000,305000,283000,279000,347000,248000,266000,188000,206000,172000,210000,175000,167000,177000,292000,287000,331000,
or_pos: 229000,174000,439000,244000,302000,
