1; Draft.Scratch_smt_check_7_30338; 2026-04-10 13:44:04.813;
bind: 802000,794000,
cong: 261000,263000,
refl: 83000,86000,
trans: 353000,352000,358000,365000,
or_pos: 439000,
implies: 485000,
parsing: 21902000,
aci_simp: 1989000,2142000,
subproof: 3070000,
equiv_pos2: 627000,641000,
reordering: 598000,
resolution: 481000,527000,487000,853000,841000,481000,538000,
contraction: 845000,
forall_inst: 1587000,
implies_neg1: 737000,
implies_neg2: 630000,
__local_input: 203000,
__normalized_input: 3044000,3180000,1736000,1368000,
rare_rewrite_bool-impl-elim: 11861000,16046000,
rare_rewrite_bool-and-de-morgan: 11685000,11548000,

