1; Draft.Scratch_smt_check_7_23232; 2026-04-10 13:47:36.189;
and: 146000,
bind: 178000,186000,201000,174000,201000,180000,299000,258000,254000,254000,138000,202000,281000,234000,343000,369000,521000,462000,163000,181000,184000,
cong: 86000,48000,53000,102000,201000,55000,125000,107000,109000,71000,54000,53000,193000,91000,54000,256000,129000,73000,96000,72000,91000,244000,139000,137000,93000,49000,222000,57000,56000,138000,81000,79000,87000,83000,549000,365000,277000,290000,158000,212000,136000,136000,105000,182000,116000,101000,106000,56000,143000,60000,213000,86000,50000,67000,98000,172000,
refl: 22000,33000,36000,45000,30000,313000,147000,117000,41000,31000,29000,40000,68000,69000,72000,48000,41000,91000,99000,84000,28000,39000,23000,33000,
symm: 87000,158000,204000,125000,179000,280000,128000,114000,127000,150000,90000,82000,95000,75000,82000,
trans: 151000,160000,106000,136000,83000,151000,208000,214000,232000,162000,116000,82000,186000,153000,167000,172000,277000,154000,122000,133000,126000,128000,186000,294000,238000,277000,390000,429000,459000,332000,250000,206000,291000,147000,156000,158000,105000,115000,135000,189000,149000,127000,96000,96000,158000,150000,108000,161000,
equiv1: 203000,357000,190000,122000,101000,164000,
equiv2: 113000,115000,255000,182000,107000,109000,
or_neg: 193000,222000,177000,141000,189000,203000,186000,256000,6049000,395000,476000,191000,171000,169000,190000,179000,
or_pos: 246000,317000,206000,
and_neg: 193000,
and_pos: 148000,156000,146000,139000,147000,150000,118000,132000,110000,121000,265000,257000,276000,401000,396000,371000,378000,334000,304000,153000,160000,151000,152000,127000,138000,132000,148000,146000,113000,123000,
implies: 199000,110000,225000,132000,100000,143000,456000,278000,163000,183000,102000,168000,126000,151000,
not_and: 189000,423000,172000,185000,
not_not: 136000,243000,129000,
parsing: 58950000,
aci_simp: 988000,1062000,2360000,
evaluate: 188000,204000,295000,456000,164000,230000,274000,316000,186000,
not_symm: 89000,90000,
onepoint: 1048000,
qnt_join: 194000,
subproof: 1108000,1182000,1081000,1287000,1101000,1081000,1104000,2049000,2332000,2162000,1120000,1069000,1156000,1090000,1100000,1148000,1211000,1149000,
and_intro: 146000,111000,284000,277000,121000,132000,115000,101000,
poly_simp: 1854000,1857000,2117000,1801000,1972000,1941000,2409000,4207000,4500000,3549000,4879000,3473000,3763000,3375000,2950000,1919000,1829000,
equiv_pos1: 82000,60000,
equiv_pos2: 131000,26000,147000,88000,85000,130000,233000,155000,178000,291000,113000,111000,113000,61000,67000,159000,74000,130000,126000,46000,132000,234000,232000,161000,180000,125000,482000,175000,72000,67000,86000,61000,141000,29000,152000,50000,122000,190000,
la_generic: 7195000,
not_equiv1: 136000,
not_equiv2: 137000,
reordering: 206000,414000,502000,155000,357000,302000,336000,215000,285000,281000,308000,842000,1612000,643000,416000,292000,377000,220000,257000,468000,264000,229000,225000,
resolution: 168000,264000,215000,165000,213000,392000,394000,201000,210000,255000,241000,562000,157000,176000,154000,206000,373000,352000,663000,207000,218000,241000,183000,229000,180000,222000,1600000,271000,262000,298000,237000,302000,410000,405000,386000,229000,281000,161000,209000,392000,398000,340000,269000,267000,400000,177000,174000,232000,246000,158000,208000,299000,277000,406000,206000,226000,253000,165000,181000,349000,166000,215000,199000,274000,592000,1552000,482000,334000,446000,377000,1000000,303000,287000,353000,273000,267000,343000,753000,657000,1789000,271000,403000,276000,309000,450000,535000,463000,757000,295000,366000,310000,345000,442000,405000,597000,524000,298000,279000,208000,228000,260000,229000,413000,121000,199000,195000,299000,185000,201000,213000,160000,231000,208000,302000,354000,327000,470000,178000,236000,235000,378000,399000,203000,197000,235000,241000,368000,156000,157000,167000,252000,340000,311000,617000,165000,255000,248000,404000,253000,321000,295000,168000,253000,
contraction: 290000,190000,224000,307000,314000,152000,355000,296000,188000,205000,152000,205000,217000,492000,334000,431000,737000,813000,412000,477000,219000,190000,199000,167000,295000,270000,153000,287000,159000,177000,248000,285000,173000,202000,246000,
forall_inst: 811000,790000,706000,715000,716000,657000,772000,1297000,1226000,1367000,1372000,887000,769000,
la_mult_neg: 270000,
implies_neg1: 213000,274000,129000,278000,134000,178000,187000,364000,437000,808000,124000,189000,136000,252000,170000,169000,265000,210000,
implies_neg2: 144000,291000,135000,310000,181000,133000,183000,262000,670000,431000,141000,104000,289000,139000,129000,247000,164000,213000,
__local_input: 31000,31000,56000,38000,38000,55000,51000,100000,75000,32000,44000,30000,57000,56000,52000,72000,75000,75000,54000,61000,55000,75000,71000,26000,54000,28000,33000,78000,31000,60000,21000,23000,22000,33000,55000,74000,
comp_simplify: 1373000,1520000,2894000,
poly_simp_rel: 1060000,1028000,1156000,1011000,1003000,1091000,1042000,1981000,1947000,2021000,2040000,2089000,1987000,2000000,1175000,1021000,
qnt_rm_unused: 293000,1326000,
equiv_simplify: 173000,193000,367000,325000,169000,174000,200000,
la_disequality: 55000,151000,
implies_simplify: 272000,507000,299000,202000,240000,
__normalized_input: 5489000,23997000,8884000,8133000,2883000,1570000,1488000,1171000,1232000,1170000,1446000,
miniscope_distribute: 515000,
rare_rewrite_eq-refl: 90000,
rare_rewrite_eq-symm: 121000,115000,119000,108000,109000,110000,169000,
rare_rewrite_or-not-refl: 6577000,
rare_rewrite_arith-elim-gt: 6759000,6715000,
rare_rewrite_arith-elim-lt: 12356000,12384000,7338000,6889000,
rare_rewrite_arith-elim-leq: 6630000,6553000,12053000,12288000,12519000,6642000,
rare_rewrite_bool-impl-elim: 7175000,12840000,
rare_rewrite_bool-and-de-morgan: 12491000,
rare_rewrite_bool-or-and-distrib: 6478000,
rare_rewrite_bool-double-not-elim: 114000,259000,246000,268000,144000,118000,
rare_rewrite_bool-implies-de-morgan: 6541000,

