1; Draft.Scratch_smt_check_7_4408; 2026-04-10 13:48:54.846;
bind: 358000,
cong: 249000,139000,106000,
refl: 54000,34000,
symm: 193000,
false: 22000,
trans: 199000,321000,
equiv2: 228000,230000,
or_pos: 378000,
not_not: 223000,
parsing: 2146000,
evaluate: 309000,
equiv_pos2: 244000,125000,55000,
reordering: 446000,
resolution: 235000,307000,297000,317000,385000,439000,326000,371000,381000,
forall_inst: 1581000,
equiv_simplify: 403000,359000,
__normalized_input: 1211000,1041000,930000,1036000,
rare_rewrite_bool-impl-elim: 12243000,
rare_rewrite_bool-double-not-elim: 285000,268000,

