1; Draft.Scratch_smt_check_7_16209; 2026-04-10 13:43:18.103;
bind: 267000,504000,364000,280000,349000,
cong: 134000,175000,177000,
refl: 45000,54000,53000,
trans: 127000,143000,216000,230000,187000,211000,
or_pos: 269000,248000,365000,430000,287000,377000,405000,
implies: 337000,
parsing: 25914000,
aci_simp: 1077000,1879000,1806000,
subproof: 3006000,
equiv_pos2: 218000,348000,294000,199000,270000,
reordering: 315000,292000,506000,404000,382000,539000,637000,
resolution: 233000,255000,189000,253000,290000,248000,299000,260000,358000,268000,320000,429000,234000,397000,427000,422000,262000,295000,340000,368000,617000,735000,437000,408000,
contraction: 547000,
forall_inst: 14756000,1188000,1335000,1296000,1140000,1266000,1225000,1244000,1319000,
implies_neg1: 461000,
implies_neg2: 489000,
__local_input: 92000,
__normalized_input: 1346000,1302000,1900000,1098000,1101000,5188000,677000,713000,840000,
rare_rewrite_bool-impl-elim: 6607000,11712000,11616000,11638000,11580000,
rare_rewrite_bool-and-de-morgan: 6209000,11519000,11749000,

