1; Draft.Scratch_smt_check_7_9797; 2026-04-10 13:49:06.267;
and: 104000,114000,130000,
bind: 331000,723000,722000,
cong: 229000,121000,72000,73000,149000,184000,241000,287000,169000,184000,440000,331000,294000,373000,309000,175000,99000,95000,86000,130000,390000,246000,
refl: 30000,63000,131000,50000,36000,66000,
symm: 410000,389000,257000,355000,215000,563000,853000,
false: 13000,
trans: 334000,191000,219000,209000,218000,989000,771000,675000,605000,740000,486000,359000,678000,694000,
equiv1: 166000,503000,1174000,
equiv2: 142000,376000,756000,823000,691000,
or_pos: 752000,1007000,
and_neg: 174000,206000,297000,
implies: 407000,
not_not: 484000,470000,
parsing: 8195000,
aci_simp: 1027000,2305000,
evaluate: 424000,
subproof: 1160000,
equiv_pos1: 68000,50000,220000,
equiv_pos2: 288000,59000,110000,112000,226000,305000,528000,334000,371000,62000,
reordering: 220000,300000,263000,316000,264000,524000,864000,1339000,2323000,
resolution: 133000,183000,266000,307000,353000,285000,182000,174000,200000,213000,199000,219000,220000,260000,215000,332000,384000,374000,239000,207000,284000,315000,269000,330000,437000,334000,634000,455000,590000,667000,406000,524000,694000,594000,382000,511000,630000,684000,648000,655000,
contraction: 378000,
forall_inst: 1141000,763000,789000,880000,9666000,1567000,2028000,2105000,
implies_neg1: 322000,
implies_neg2: 307000,
__local_input: 85000,
equiv_simplify: 225000,243000,478000,1040000,983000,602000,1415000,951000,
__normalized_input: 38583000,36948000,26905000,17474000,6836000,6000000,4857000,4451000,3647000,3418000,2823000,2792000,2027000,1853000,1828000,1736000,716000,
rare_rewrite_eq-symm: 223000,375000,795000,487000,
rare_rewrite_bool-impl-elim: 6425000,12180000,
rare_rewrite_bool-impl-false1: 6039000,6334000,
rare_rewrite_bool-and-de-morgan: 11861000,
rare_rewrite_bool-double-not-elim: 210000,

