1; Draft.Scratch_smt_check_7_20553; 2026-04-10 13:43:21.231;
cong: 441000,1523000,
refl: 304000,229000,192000,
symm: 420000,
trans: 616000,488000,
equiv1: 790000,
equiv2: 932000,
or_neg: 968000,1017000,920000,1058000,
and_neg: 1133000,
and_pos: 1198000,1231000,1486000,
implies: 1450000,
not_not: 602000,
parsing: 8936000,
subproof: 3101000,
equiv_pos2: 1989000,
reordering: 4049000,
resolution: 404000,1749000,4855000,1405000,1644000,1282000,2447000,521000,474000,766000,
contraction: 2677000,1956000,2126000,
implies_neg1: 2296000,
implies_neg2: 1775000,
__local_input: 105000,86000,179000,
equiv_simplify: 1192000,1032000,
__normalized_input: 1970000,1716000,1533000,5162000,
rare_rewrite_bool-double-not-elim: 969000,

