0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = ["cvc5"], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 10.000, try0 = false, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.proof     13273ms Simplex.Simplex_Auxiliary 58:1518  timeout (SH 13273ms): Timed out
0.sledgehammer goal.proof     54133ms Simplex.Simplex_Auxiliary 196:5105  timeout (SH 54133ms):
0.sledgehammer goal.using     46785ms Simplex.Simplex_Auxiliary 202:5274  some (SH 46785ms, ATP 833ms): Try this: by (smt (cvc5, best) insert_iff mem_Collect_eq) (1.5 s)
0.sledgehammer goal.using     46785ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, best) insert_iff mem_Collect_eq) (1.5 s)
0.sledgehammer goal.using     46785ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, inst_when_full) insert_iff mem_Collect_eq) (2.8 s)
0.sledgehammer goal.using     46785ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, no_ematching_enum_inst_sum) insert_iff mem_Collect_eq) (2.9 s)
0.sledgehammer goal.using     46785ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, trigger_linear) insert_iff mem_Collect_eq) (2.9 s)
0.sledgehammer goal.using     46785ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, trigger_multi_prio) insert_iff mem_Collect_eq) (3.0 s)
0.sledgehammer goal.using     46785ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, trigger_cache) insert_iff mem_Collect_eq) (3.0 s)
0.sledgehammer goal.using     46785ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, trigger_multi) insert_iff mem_Collect_eq) (3.0 s)
0.sledgehammer goal.using     46785ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, pre_skolem_quant) insert_iff mem_Collect_eq) (3.1 s)
0.sledgehammer goal.using     46785ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, no_ematching) insert_iff mem_Collect_eq) (3.1 s)
