0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = ["cvc5"], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 10.000, try0 = false, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.proof     12419ms Simplex.Simplex_Auxiliary 58:1518  timeout (SH 12419ms): Timed out
0.sledgehammer goal.proof     54389ms Simplex.Simplex_Auxiliary 196:5105  timeout (SH 54389ms):
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some (SH 41804ms, ATP 848ms): Try this: by (smt (cvc5, interleave) insert_iff mem_Collect_eq) (3.2 s)
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, interleave) insert_iff mem_Collect_eq) (3.2 s)
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, prereg_lazy) insert_iff mem_Collect_eq) (3.3 s)
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, term_db_relevant) insert_iff mem_Collect_eq) (3.4 s)
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, mbqi) insert_iff mem_Collect_eq) (3.6 s)
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, finite_mode_find_e_matching) insert_iff mem_Collect_eq) (3.9 s)
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, no_fmf_mbqi) insert_iff mem_Collect_eq) (4.1 s)
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, best) insert_iff mem_Collect_eq) (7.0 s)
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, dec_internal_no_simp) insert_iff mem_Collect_eq) (> 1.0 s, timed out)
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, dec_internal_enum_inst_sum) insert_iff mem_Collect_eq) (> 1.0 s, timed out)
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, finite_mode_find) insert_iff mem_Collect_eq) (> 1.0 s, timed out)
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, finite_mode_find_dec_internal) insert_iff mem_Collect_eq) (> 1.0 s, timed out)
0.sledgehammer goal.using     41805ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (cvc5, finite_mode_find_macro_quant) insert_iff mem_Collect_eq) (failed)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some (SH 43728ms, ATP 822ms): Try this: by (smt (cvc5, term_db_relevant) insert_iff mem_Collect_eq) (2.8 s)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some Preplay: (smt (cvc5, term_db_relevant) insert_iff mem_Collect_eq) (2.8 s)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some Preplay: (smt (cvc5, prereg_lazy) insert_iff mem_Collect_eq) (2.9 s)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some Preplay: (smt (cvc5, interleave) insert_iff mem_Collect_eq) (3.6 s)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some Preplay: (smt (cvc5, best) insert_iff mem_Collect_eq) (3.7 s)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some Preplay: (smt (cvc5, finite_mode_find_e_matching) insert_iff mem_Collect_eq) (4.1 s)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some Preplay: (smt (cvc5, mbqi) insert_iff mem_Collect_eq) (4.2 s)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some Preplay: (smt (cvc5, no_fmf_mbqi) insert_iff mem_Collect_eq) (4.6 s)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some Preplay: (smt (cvc5, dec_internal_no_simp) insert_iff mem_Collect_eq) (> 1.0 s, timed out)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some Preplay: (smt (cvc5, dec_internal_enum_inst_sum) insert_iff mem_Collect_eq) (> 1.0 s, timed out)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some Preplay: (smt (cvc5, finite_mode_find) insert_iff mem_Collect_eq) (> 1.0 s, timed out)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some Preplay: (smt (cvc5, finite_mode_find_dec_internal) insert_iff mem_Collect_eq) (> 1.0 s, timed out)
0.sledgehammer goal.by        43728ms Simplex.Simplex_Auxiliary 203:5297  some Preplay: (smt (cvc5, finite_mode_find_macro_quant) insert_iff mem_Collect_eq) (failed)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some (SH 61191ms, ATP 637ms): Try this: by (smt (cvc5) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some Preplay: (smt (cvc5, best) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one) (> 1.0 s, timed out)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some Preplay: (smt (cvc5, dec_internal_no_simp) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one) (> 1.0 s, timed out)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some Preplay: (smt (cvc5, dec_internal_enum_inst_sum) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one) (> 1.0 s, timed out)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some Preplay: (smt (cvc5, term_db_relevant) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one) (> 1.0 s, timed out)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some Preplay: (smt (cvc5, interleave) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one) (> 1.0 s, timed out)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some Preplay: (smt (cvc5, prereg_lazy) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one) (> 1.0 s, timed out)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some Preplay: (smt (cvc5, finite_mode_find) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one) (> 1.0 s, timed out)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some Preplay: (smt (cvc5, no_fmf_mbqi) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one) (> 1.0 s, timed out)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some Preplay: (smt (cvc5, finite_mode_find_dec_internal) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one) (> 1.0 s, timed out)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some Preplay: (smt (cvc5, finite_mode_find_macro_quant) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one) (> 1.0 s, timed out)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some Preplay: (smt (cvc5, finite_mode_find_e_matching) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one) (> 1.0 s, timed out)
0.sledgehammer goal.proof     61192ms Simplex.Rel_Chain 164:4587  some Preplay: (smt (cvc5, mbqi) List.last_tl \<open>tl l \<noteq> []\<close> add_diff_cancel_right' add_gr_0 assms(1,2,4) hd_conv_nth last_append last_take_conv_nth less_imp_le_nat take_eq_Nil tl_take zero_less_one) (> 1.0 s, timed out)
0.sledgehammer goal.proof     87520ms Simplex.Rel_Chain 178:5030  some (SH 87519ms, ATP 1518ms): Try this: by (smt (cvc5) append_take_drop_id assms(1,2,4,5) diff_diff_cancel diff_is_0_eq' hd_conv_nth hd_take hd_tl last_drop le_add2 le_numeral_extra(4) le_trans less_add_same_cancel2 linordered_semidom_class.add_diff_inverse list.size(3) nat_less_le rel_chain_append rel_chain_appendD(2) rel_chain_def rel_chain_take rel_chain_tl tl_take)
0.sledgehammer goal.proof     87520ms Simplex.Rel_Chain 178:5030  some Preplay: (smt (cvc5, best) append_take_drop_id assms(1,2,4,5) diff_diff_cancel diff_is_0_eq' hd_conv_nth hd_take hd_tl last_drop le_add2 le_numeral_extra(4) le_trans less_add_same_cancel2 linordered_semidom_class.add_diff_inverse list.size(3) nat_less_le rel_chain_append rel_chain_appendD(2) rel_chain_def rel_chain_take rel_chain_tl tl_take) (> 1.0 s, timed out)
0.sledgehammer goal.proof     87520ms Simplex.Rel_Chain 178:5030  some Preplay: (smt (cvc5, dec_internal_no_simp) append_take_drop_id assms(1,2,4,5) diff_diff_cancel diff_is_0_eq' hd_conv_nth hd_take hd_tl last_drop le_add2 le_numeral_extra(4) le_trans less_add_same_cancel2 linordered_semidom_class.add_diff_inverse list.size(3) nat_less_le rel_chain_append rel_chain_appendD(2) rel_chain_def rel_chain_take rel_chain_tl tl_take) (> 1.0 s, timed out)
0.sledgehammer goal.proof     87520ms Simplex.Rel_Chain 178:5030  some Preplay: (smt (cvc5, dec_internal_enum_inst_sum) append_take_drop_id assms(1,2,4,5) diff_diff_cancel diff_is_0_eq' hd_conv_nth hd_take hd_tl last_drop le_add2 le_numeral_extra(4) le_trans less_add_same_cancel2 linordered_semidom_class.add_diff_inverse list.size(3) nat_less_le rel_chain_append rel_chain_appendD(2) rel_chain_def rel_chain_take rel_chain_tl tl_take) (> 1.0 s, timed out)
0.sledgehammer goal.proof     87520ms Simplex.Rel_Chain 178:5030  some Preplay: (smt (cvc5, term_db_relevant) append_take_drop_id assms(1,2,4,5) diff_diff_cancel diff_is_0_eq' hd_conv_nth hd_take hd_tl last_drop le_add2 le_numeral_extra(4) le_trans less_add_same_cancel2 linordered_semidom_class.add_diff_inverse list.size(3) nat_less_le rel_chain_append rel_chain_appendD(2) rel_chain_def rel_chain_take rel_chain_tl tl_take) (> 1.0 s, timed out)
0.sledgehammer goal.proof     87520ms Simplex.Rel_Chain 178:5030  some Preplay: (smt (cvc5, interleave) append_take_drop_id assms(1,2,4,5) diff_diff_cancel diff_is_0_eq' hd_conv_nth hd_take hd_tl last_drop le_add2 le_numeral_extra(4) le_trans less_add_same_cancel2 linordered_semidom_class.add_diff_inverse list.size(3) nat_less_le rel_chain_append rel_chain_appendD(2) rel_chain_def rel_chain_take rel_chain_tl tl_take) (> 1.0 s, timed out)
0.sledgehammer goal.proof     87520ms Simplex.Rel_Chain 178:5030  some Preplay: (smt (cvc5, prereg_lazy) append_take_drop_id assms(1,2,4,5) diff_diff_cancel diff_is_0_eq' hd_conv_nth hd_take hd_tl last_drop le_add2 le_numeral_extra(4) le_trans less_add_same_cancel2 linordered_semidom_class.add_diff_inverse list.size(3) nat_less_le rel_chain_append rel_chain_appendD(2) rel_chain_def rel_chain_take rel_chain_tl tl_take) (> 1.0 s, timed out)
0.sledgehammer goal.proof     87520ms Simplex.Rel_Chain 178:5030  some Preplay: (smt (cvc5, finite_mode_find) append_take_drop_id assms(1,2,4,5) diff_diff_cancel diff_is_0_eq' hd_conv_nth hd_take hd_tl last_drop le_add2 le_numeral_extra(4) le_trans less_add_same_cancel2 linordered_semidom_class.add_diff_inverse list.size(3) nat_less_le rel_chain_append rel_chain_appendD(2) rel_chain_def rel_chain_take rel_chain_tl tl_take) (> 1.0 s, timed out)
0.sledgehammer goal.proof     87520ms Simplex.Rel_Chain 178:5030  some Preplay: (smt (cvc5, no_fmf_mbqi) append_take_drop_id assms(1,2,4,5) diff_diff_cancel diff_is_0_eq' hd_conv_nth hd_take hd_tl last_drop le_add2 le_numeral_extra(4) le_trans less_add_same_cancel2 linordered_semidom_class.add_diff_inverse list.size(3) nat_less_le rel_chain_append rel_chain_appendD(2) rel_chain_def rel_chain_take rel_chain_tl tl_take) (> 1.0 s, timed out)
