1; Draft.Scratch_smt_check_7_14279; 2026-04-10 13:43:40.096;
bind: 433000,444000,440000,393000,
cong: 317000,241000,202000,259000,270000,197000,
refl: 187000,36000,195000,163000,167000,182000,
symm: 119000,372000,
trans: 384000,383000,352000,456000,375000,290000,333000,296000,303000,431000,367000,366000,370000,290000,291000,
equiv1: 343000,
parsing: 36318000,
aci_simp: 2125000,2095000,2102000,1851000,1808000,
equiv_pos2: 54000,297000,394000,200000,
reordering: 657000,
resolution: 289000,350000,431000,324000,359000,479000,
forall_inst: 1466000,
qnt_rm_unused: 532000,1566000,
connective_def: 593000,
miniscope_split: 619000,
__normalized_input: 5036000,765000,1107000,821000,
rare_rewrite_bool-eq-false: 11892000,
rare_rewrite_bool-impl-elim: 11856000,
rare_rewrite_bool-and-de-morgan: 11945000,11894000,11880000,22516000,

