rule,count,total,mean,min,first_quartile,median,third_quartile,max
__normalized_input,23,65884000,2864521.7391304346,1095000,1229500,1401000,2148500,20525000
rare_rewrite_bool-eq-false,4,46960000,11740000,6620000,6793250,9354000,14300750,21632000
rare_rewrite_bool-impl-elim,3,33762000,11254000,8105000,10442000,12779000,12828500,12878000
parsing,6,31121000,5186833.333333333,459000,2736750,6137500,6788750,9778000
rare_rewrite_bool-and-de-morgan,3,22931000,7643666.666666667,7233000,7459500,7686000,7849000,8012000
resolution,70,20741000,296300,126000,201750,269500,372750,653000
equiv_simplify,10,18532000,1853200,195000,208500,237500,433250,15955000
forall_inst,11,10095000,917727.2727272727,755000,795000,846000,912500,1563000
subproof,5,6533000,1306600,1144000,1228000,1288000,1339000,1534000
trans,29,5864000,202206.89655172414,104000,173000,194000,242000,361000
bind,18,4914000,273000,165000,180250,259500,327500,522000
cong,44,4736000,107636.36363636363,54000,67000,88500,114500,404000
contraction,10,3252000,325200,243000,292000,329000,349250,395000
equiv_pos2,17,2842000,167176.4705882353,27000,97000,117000,214000,434000
reordering,5,2649000,529800,394000,416000,560000,616000,663000
aci_simp,2,2471000,1235500,1042000,1138750,1235500,1332250,1429000
implies_neg1,5,2105000,421000,258000,267000,298000,589000,693000
symm,12,1932000,161000,117000,127750,146000,193750,241000
rare_rewrite_eq-symm,10,1841000,184100,138000,156500,172500,190250,317000
and_pos,7,1417000,202428.57142857142,182000,192500,198000,214000,224000
implies_neg2,5,1372000,274400,185000,242000,288000,293000,364000
equiv2,8,1341000,167625,112000,116000,130500,186500,294000
or_neg,6,1283000,213833.33333333334,189000,192000,212000,233500,244000
evaluate,4,1264000,316000,215000,282500,331000,364500,387000
equiv1,4,1123000,280750,240000,263250,287000,304500,309000
rare_rewrite_bool-double-not-elim,4,967000,241750,226000,228250,229500,243000,282000
implies,4,862000,215500,190000,201250,207000,221250,258000
not_not,5,794000,158800,132000,134000,137000,150000,241000
refl,10,630000,63000,23000,32750,60500,94750,113000
connective_def,2,583000,291500,284000,287750,291500,295250,299000
__local_input,9,559000,62111.11111111111,28000,61000,63000,68000,87000
and_neg,1,417000,417000,417000,417000,417000,417000,417000
implies_simplify,1,333000,333000,333000,333000,333000,333000,333000
or_pos,1,326000,326000,326000,326000,326000,326000,326000
rare_rewrite_eq-refl,1,196000,196000,196000,196000,196000,196000,196000
not_and,1,193000,193000,193000,193000,193000,193000,193000
and_intro,1,176000,176000,176000,176000,176000,176000,176000
equiv_pos1,1,136000,136000,136000,136000,136000,136000,136000
false,2,31000,15500,13000,14250,15500,16750,18000
