1; Draft.Scratch_smt_check_7_12877; 2026-04-10 13:46:45.937;
bind: 399000,269000,385000,255000,417000,
cong: 218000,158000,173000,160000,213000,663000,624000,
refl: 36000,45000,55000,
trans: 266000,317000,165000,190000,296000,315000,
or_pos: 292000,306000,243000,287000,309000,352000,282000,365000,686000,
and_neg: 204000,242000,195000,206000,
and_pos: 289000,138000,247000,198000,191000,131000,273000,188000,292000,138000,228000,205000,201000,139000,290000,186000,
implies: 636000,
parsing: 25055000,
aci_simp: 1857000,1031000,1922000,
subproof: 3290000,
equiv_pos1: 117000,173000,117000,133000,
equiv_pos2: 159000,86000,131000,189000,130000,183000,130000,90000,272000,186000,134000,290000,904000,
reordering: 443000,207000,495000,341000,339000,272000,332000,200000,474000,374000,496000,252000,312000,436000,377000,350000,528000,580000,655000,428000,198000,474000,468000,347000,293000,468000,299000,358000,204000,483000,652000,369000,495000,293000,316000,472000,376000,343000,493000,455000,13494000,
resolution: 472000,407000,399000,210000,260000,230000,201000,245000,210000,242000,330000,189000,196000,233000,197000,188000,276000,197000,232000,341000,170000,148000,192000,219000,177000,152000,227000,275000,240000,216000,249000,210000,278000,312000,218000,206000,243000,203000,221000,311000,159000,193000,235000,189000,278000,248000,176000,182000,225000,200000,264000,316000,287000,223000,142000,196000,205000,153000,238000,252000,222000,146000,218000,253000,176000,312000,287000,365000,250000,701000,955000,1059000,707000,412000,
contraction: 974000,
forall_inst: 832000,902000,892000,786000,869000,911000,865000,952000,975000,707000,801000,859000,824000,905000,664000,765000,875000,1062000,777000,950000,758000,1004000,1015000,851000,1691000,
implies_neg1: 777000,
implies_neg2: 1050000,
__local_input: 123000,
__normalized_input: 2601000,2295000,1537000,1429000,1007000,1092000,
rare_rewrite_eq-symm: 342000,
rare_rewrite_bool-impl-elim: 6107000,6259000,8290000,11123000,
rare_rewrite_bool-and-de-morgan: 5889000,6209000,11155000,

