1; Draft.Scratch_smt_check_7_8713; 2026-04-10 13:48:54.695;
and: 69000,81000,81000,98000,
bind: 1022000,595000,314000,268000,203000,
cong: 97000,77000,116000,520000,350000,306000,335000,311000,329000,131000,139000,166000,277000,68000,90000,64000,52000,47000,56000,61000,83000,53000,329000,
refl: 92000,52000,20000,32000,74000,22000,54000,41000,44000,51000,
symm: 113000,127000,108000,
trans: 235000,906000,785000,889000,645000,637000,550000,598000,370000,262000,117000,143000,124000,132000,
choice: 83000,
equiv1: 490000,
equiv2: 136000,117000,
or_neg: 176000,215000,153000,194000,258000,276000,274000,273000,268000,299000,273000,
or_pos: 206000,448000,
and_neg: 190000,
and_pos: 86000,95000,282000,297000,314000,308000,299000,309000,299000,300000,282000,306000,
implies: 219000,496000,
not_and: 290000,
not_not: 131000,
parsing: 31922000,
aci_simp: 3147000,2389000,1018000,1422000,
evaluate: 235000,
subproof: 1163000,1230000,1422000,
and_intro: 313000,
equiv_pos2: 108000,413000,141000,110000,130000,252000,51000,30000,55000,374000,
reordering: 220000,218000,141000,145000,284000,779000,1454000,1695000,
resolution: 487000,399000,331000,731000,1081000,734000,230000,778000,276000,327000,217000,260000,382000,414000,419000,412000,336000,194000,732000,2292000,294000,303000,401000,353000,1354000,207000,158000,212000,220000,196000,156000,236000,655000,609000,1565000,226000,202000,236000,
sko_forall: 1258000,
contraction: 257000,359000,351000,796000,381000,577000,659000,760000,
forall_inst: 1363000,1206000,782000,821000,694000,795000,752000,829000,
implies_neg1: 301000,494000,737000,
implies_neg2: 298000,305000,706000,
__local_input: 79000,25000,28000,33000,45000,35000,33000,27000,29000,47000,37000,
equiv_simplify: 214000,200000,
implies_simplify: 575000,
__normalized_input: 3879000,1818000,1978000,1148000,960000,963000,1114000,904000,929000,
rare_rewrite_bool-impl-elim: 7423000,6917000,6124000,
rare_rewrite_bool-and-de-morgan: 11496000,12241000,10530000,8859000,
rare_rewrite_bool-double-not-elim: 208000,103000,221000,111000,122000,213000,

