1; Draft.Scratch_smt_check_7_17683; 2026-04-10 13:48:54.674;
and: 279000,129000,131000,
cong: 282000,260000,147000,474000,162000,153000,81000,224000,118000,76000,119000,198000,153000,149000,74000,230000,119000,78000,116000,200000,1253000,
refl: 31000,31000,251000,182000,116000,196000,
symm: 274000,271000,148000,198000,146000,385000,142000,204000,140000,368000,
trans: 143000,295000,236000,396000,366000,292000,243000,371000,401000,
equiv1: 636000,356000,
equiv2: 355000,341000,341000,
or_neg: 576000,495000,468000,488000,509000,
and_pos: 482000,473000,729000,718000,647000,721000,738000,
implies: 508000,977000,
not_and: 492000,
not_not: 239000,233000,
parsing: 15069000,
evaluate: 191000,
subproof: 2161000,1288000,1873000,
and_intro: 406000,
equiv_pos2: 365000,675000,174000,221000,28000,191000,220000,1679000,
reordering: 891000,3978000,
resolution: 534000,558000,409000,350000,366000,646000,846000,679000,389000,418000,1778000,5762000,509000,373000,474000,407000,612000,165000,245000,269000,286000,275000,340000,350000,236000,204000,268000,1117000,879000,2448000,247000,283000,237000,301000,345000,230000,207000,280000,292000,
contraction: 811000,3023000,549000,614000,1267000,1678000,
forall_inst: 1800000,1413000,1600000,1693000,894000,839000,748000,867000,857000,752000,843000,14265000,
implies_neg1: 670000,651000,2904000,
implies_neg2: 729000,394000,1263000,
__local_input: 115000,61000,86000,117000,123000,98000,96000,184000,
equiv_simplify: 435000,437000,439000,458000,
implies_simplify: 861000,
__normalized_input: 2005000,1831000,1947000,1159000,1206000,
rare_rewrite_eq-symm: 567000,347000,344000,
rare_rewrite_bool-eq-false: 6350000,6609000,6535000,6448000,
rare_rewrite_bool-double-not-elim: 706000,

