1; Draft.Scratch_smt_check_7_14429; 2026-04-10 13:48:54.882;
and: 70000,76000,115000,90000,
bind: 592000,586000,380000,285000,522000,458000,
cong: 335000,226000,204000,265000,309000,357000,144000,238000,
refl: 51000,48000,22000,31000,171000,
trans: 506000,439000,476000,385000,376000,347000,349000,375000,278000,504000,
equiv1: 451000,
or_pos: 881000,
and_pos: 211000,
parsing: 29795000,
aci_simp: 1657000,1318000,1489000,14737000,2083000,
equiv_pos2: 838000,314000,
reordering: 351000,1426000,
resolution: 402000,613000,430000,349000,502000,415000,
forall_inst: 2117000,
__normalized_input: 2569000,1298000,889000,863000,922000,
rare_rewrite_bool-impl-elim: 7326000,10070000,11962000,
rare_rewrite_bool-and-de-morgan: 6569000,6871000,6842000,7029000,

