1; Draft.Scratch_smt_check_7_15011; 2026-04-10 13:45:44.750;
cong: 292000,186000,165000,114000,296000,
refl: 27000,
implies: 241000,342000,252000,
parsing: 5965000,
subproof: 2065000,2373000,2210000,
equiv_pos2: 376000,373000,
reordering: 466000,
resolution: 280000,354000,466000,504000,487000,333000,561000,625000,277000,460000,517000,497000,318000,
contraction: 438000,494000,422000,
forall_inst: 1326000,1276000,
implies_neg1: 353000,375000,438000,
implies_neg2: 361000,527000,313000,
__local_input: 80000,80000,52000,
__normalized_input: 1338000,1328000,
rare_rewrite_eq-symm: 259000,214000,

