1; Draft.Scratch_smt_check_7_19634; 2026-04-10 13:49:15.241;
bind: 306000,304000,320000,261000,
cong: 191000,46000,44000,61000,57000,158000,87000,96000,
refl: 53000,65000,
trans: 276000,209000,228000,
or_pos: 503000,
implies: 243000,
parsing: 4720000,
aci_simp: 1078000,
subproof: 1962000,
equiv_pos2: 355000,139000,124000,
reordering: 738000,
resolution: 153000,243000,305000,330000,302000,382000,458000,394000,293000,429000,
contraction: 380000,
forall_inst: 1450000,1145000,1207000,
implies_neg1: 305000,
implies_neg2: 253000,
__local_input: 248000,
__normalized_input: 9153000,3990000,1227000,1194000,
rare_rewrite_bool-impl-elim: 19018000,
rare_rewrite_bool-and-de-morgan: 5926000,

