0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = [], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 30.000, try0 = false, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.proof     34711ms Simplex.Simplex_Auxiliary 58:1518  timeout (SH 34620ms): Timed out
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some (SH 130446ms, ATP 2822ms): Try this: by (smt (verit, ccfv_SIG) Ball_Collect SUP_least insert_iff mem_Collect_eq) (725 ms)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (verit, ccfv_SIG) Ball_Collect SUP_least insert_iff mem_Collect_eq) (725 ms)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (verit, best) Ball_Collect SUP_least insert_iff mem_Collect_eq) (937 ms)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (z3) Ball_Collect SUP_least insert_iff mem_Collect_eq) (955 ms)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (cvc5, term_relev) Ball_Collect SUP_least insert_iff mem_Collect_eq) (1.0 s)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (verit, ccfv_threshold) Ball_Collect SUP_least insert_iff mem_Collect_eq) (1.0 s)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (verit, del_insts) Ball_Collect SUP_least insert_iff mem_Collect_eq) (1.4 s)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (cvc5, trigger_relev) Ball_Collect SUP_least insert_iff mem_Collect_eq) (1.4 s)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (verit) Ball_Collect SUP_least insert_iff mem_Collect_eq) (1.5 s)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (cvc5, trigger_max) Ball_Collect SUP_least insert_iff mem_Collect_eq) (1.8 s)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (cvc5, trigger_last) Ball_Collect SUP_least insert_iff mem_Collect_eq) (2.0 s)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (cvc5, best) Ball_Collect SUP_least insert_iff mem_Collect_eq) (2.0 s)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (cvc5, no_simp) Ball_Collect SUP_least insert_iff mem_Collect_eq) (2.0 s)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (cvc5, quant_saturate) Ball_Collect SUP_least insert_iff mem_Collect_eq) (2.7 s)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (cvc5, noematch) Ball_Collect SUP_least insert_iff mem_Collect_eq) (> 1.0 s, timed out)
0.sledgehammer goal.proof     130448ms Simplex.Simplex_Auxiliary 196:5105  some Preplay: (smt (cvc5, fmf) Ball_Collect SUP_least insert_iff mem_Collect_eq) (> 1.0 s, timed out)
0.sledgehammer goal.using     52542ms Simplex.Simplex_Auxiliary 202:5274  some (SH 52539ms, ATP 1371ms): Try this: by (smt (z3) insert_iff mem_Collect_eq) (740 ms)
0.sledgehammer goal.using     52542ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (z3) insert_iff mem_Collect_eq) (740 ms)
0.sledgehammer goal.using     52542ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (verit, best) insert_iff mem_Collect_eq) (1.0 s)
0.sledgehammer goal.using     52542ms Simplex.Simplex_Auxiliary 202:5274  some Preplay: (smt (verit) insert_iff mem_Collect_eq) (1.2 s)
