0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = true, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_timeout = 0.000, provers = ["cvc5_proof"], slices = 192,
0.sledgehammer initialize  smt_proofs = true, spy = false, strict = false, timeout = 30.000, try0 =
0.sledgehammer initialize  false, type_enc = NONE, uncurried_aliases = NONE, verbose = true}
0.sledgehammer goal.by        18755ms Matrix_Tensor.Matrix_Tensor 46:1094  timeout (SH 18687ms): Timed out
0.sledgehammer goal.by         5707ms Matrix_Tensor.Matrix_Tensor 49:1179  some (SH 5706ms, ATP 1280ms): Try this: by (smt (cvc5) right_id times.simps(1,2))
0.sledgehammer goal.by        21353ms Matrix_Tensor.Matrix_Tensor 52:1262  timeout (SH 21353ms): Timed out
0.sledgehammer goal.by         7087ms Matrix_Tensor.Matrix_Tensor 68:1785  some (SH 7086ms, ATP 1918ms): Try this: by (smt (cvc5) append_self_conv times_scalar_id vec_vec_Tensor.simps(1,2))
0.sledgehammer goal.by        19675ms Matrix_Tensor.Matrix_Tensor 71:1885  timeout (SH 19674ms): Timed out
0.sledgehammer goal.by        20100ms Matrix_Tensor.Matrix_Tensor 75:2016  timeout (SH 20099ms): Timed out
0.sledgehammer goal.apply      7041ms Matrix_Tensor.Matrix_Tensor 79:2159  some (SH 7040ms, ATP 1990ms): Try this: by (smt (cvc5) assms(1,2) vec_def vec_vec_Tensor_length)
0.sledgehammer goal.apply      4390ms Matrix_Tensor.Matrix_Tensor 80:2184  some (SH 4390ms, ATP 1236ms): Try this: by (smt (cvc5) assms(1,2) vec_def vec_vec_Tensor_length)
0.sledgehammer goal.apply      2774ms Matrix_Tensor.Matrix_Tensor 81:2223  some (SH 2773ms, ATP 779ms): Try this: by (smt (cvc5) assms(1,2) vec_def)
0.sledgehammer goal.by        18953ms Matrix_Tensor.Matrix_Tensor 100:2791  timeout (SH 18953ms): Timed out
0.sledgehammer goal.by         5469ms Matrix_Tensor.Matrix_Tensor 103:2906  some (SH 5468ms, ATP 2272ms): Try this: by (smt (cvc5) vec_mat_Tensor.simps(1,2) vec_vec_Tensor_right_id)
0.sledgehammer goal.by        21220ms Matrix_Tensor.Matrix_Tensor 107:3025  timeout (SH 21219ms): Timed out
0.sledgehammer goal.proof     19747ms Matrix_Tensor.Matrix_Tensor 113:3190  some (SH 19746ms, ATP 2536ms): Try this: by (smt (cvc5) assms(1,2,3) list.sel(1) list.set_intros(1) mat_def mult.commute vec_def vec_mat_Tensor.simps(2) vec_vec_Tensor_length)
0.sledgehammer goal.using      3851ms Matrix_Tensor.Matrix_Tensor 115:3283  some (SH 3851ms, ATP 1864ms): Try this: by (smt (cvc5) vec_mat_Tensor.simps(2))
0.sledgehammer goal.by         4213ms Matrix_Tensor.Matrix_Tensor 115:3314  some (SH 4212ms, ATP 1561ms): Try this: by (smt (cvc5) vec_mat_Tensor.simps(2))
0.sledgehammer goal.using      4928ms Matrix_Tensor.Matrix_Tensor 116:3360  some (SH 4928ms, ATP 1561ms): Try this: by (smt (cvc5) assms(3) calculation list.inject)
0.sledgehammer goal.by         3968ms Matrix_Tensor.Matrix_Tensor 116:3372  some (SH 3967ms, ATP 2036ms): Try this: by (smt (cvc5) calculation list.inject)
0.sledgehammer goal.using      9044ms Matrix_Tensor.Matrix_Tensor 118:3410  some (SH 9043ms, ATP 2149ms): Try this: by (smt (cvc5) assms(1) list.set_intros(1) mat_def vec_def)
0.sledgehammer goal.by        10415ms Matrix_Tensor.Matrix_Tensor 118:3422  some (SH 10414ms, ATP 2213ms): Try this: by (smt (cvc5) list.set_intros(1) mat_def vec_def)
0.sledgehammer goal.using      6501ms Matrix_Tensor.Matrix_Tensor 121:3517  some (SH 6500ms, ATP 2113ms): Try this: by (smt (cvc5) assms(2) mult.commute vec_vec_Tensor_length)
0.sledgehammer goal.by         8313ms Matrix_Tensor.Matrix_Tensor 121:3552  some (SH 8312ms, ATP 1812ms): Try this: by (smt (cvc5) mult.commute)
0.sledgehammer goal.by         5227ms Matrix_Tensor.Matrix_Tensor 123:3598  some (SH 5226ms, ATP 1890ms): Try this: by (smt (cvc5) \<open>vec_vec_Tensor v y = x\<close>)
0.sledgehammer goal.using      5506ms Matrix_Tensor.Matrix_Tensor 125:3673  some (SH 5506ms, ATP 1832ms): Try this: by (smt (cvc5) vec_def)
0.sledgehammer goal.by         4358ms Matrix_Tensor.Matrix_Tensor 125:3687  some (SH 4356ms, ATP 1454ms): Try this: by (smt (cvc5))
0.sledgehammer goal.by         3952ms Matrix_Tensor.Matrix_Tensor 127:3723  some (SH 3950ms, ATP 1268ms): Try this: by (smt (cvc5))
0.sledgehammer goal.using      4303ms Matrix_Tensor.Matrix_Tensor 135:3864  some (SH 4302ms, ATP 983ms): Try this: by (smt (cvc5) assms(3) in_set_conv_decomp)
0.sledgehammer goal.by         4360ms Matrix_Tensor.Matrix_Tensor 135:3903  some (SH 4359ms, ATP 1854ms): Try this: by (smt (cvc5))
0.sledgehammer goal.apply     19377ms Matrix_Tensor.Matrix_Tensor 145:4080  some (SH 19376ms, ATP 1014ms): Try this: by (smt (cvc5) One_nat_def assms list.exhaust list.size(4) reduct.simps(2))
0.sledgehammer goal.by        10087ms Matrix_Tensor.Matrix_Tensor 146:4093  some (SH 10085ms, ATP 3123ms): Try this: by (smt (cvc5) One_nat_def add.commute append_Nil assms id_take_nth_drop length_greater_0_conv list.size(4) plus_1_eq_Suc reduct.simps(2) take0)
0.sledgehammer goal.proof      7567ms Matrix_Tensor.Matrix_Tensor 150:4260  some (SH 7566ms, ATP 681ms): Try this: by (smt (cvc5) assms(1,2) list.size(3) mat_def)
