1; Draft.Scratch_smt_check_7_8996; 2026-04-10 13:43:18.084;
bind: 311000,
cong: 103000,74000,42000,40000,35000,
refl: 26000,
symm: 95000,102000,
false: 16000,
trans: 104000,80000,
equiv1: 96000,
equiv2: 89000,168000,
not_not: 170000,
parsing: 1161000,
evaluate: 264000,
equiv_pos2: 194000,82000,54000,
resolution: 149000,239000,202000,218000,352000,212000,293000,195000,311000,
forall_inst: 1145000,
equiv_simplify: 218000,218000,5806000,
__normalized_input: 803000,661000,896000,
rare_rewrite_eq-refl: 83000,
rare_rewrite_eq-symm: 147000,

