1; Draft.Scratch_smt_check_7_26888; 2026-04-10 13:47:15.900;
bind: 233000,209000,247000,454000,
cong: 86000,133000,
symm: 107000,103000,104000,193000,
false: 28000,
trans: 109000,124000,123000,198000,103000,202000,
equiv2: 242000,259000,
or_pos: 201000,203000,350000,
not_not: 226000,
parsing: 4297000,
evaluate: 356000,
equiv_pos2: 130000,244000,59000,
reordering: 234000,234000,450000,
resolution: 123000,175000,192000,191000,245000,168000,180000,221000,277000,182000,219000,276000,336000,410000,388000,
forall_inst: 687000,707000,744000,1324000,1262000,
equiv_simplify: 369000,360000,
__normalized_input: 11724000,11637000,4826000,5006000,893000,783000,909000,
rare_rewrite_eq-symm: 117000,199000,
rare_rewrite_bool-impl-elim: 6032000,17746000,

