1; Draft.Scratch_smt_check_7_29974; 2026-04-10 13:48:55.676;
and: 116000,101000,109000,132000,
bind: 394000,414000,397000,373000,395000,444000,509000,389000,
cong: 251000,117000,69000,227000,102000,54000,71000,53000,76000,49000,71000,201000,222000,162000,196000,62000,232000,110000,53000,82000,77000,254000,123000,64000,240000,107000,57000,78000,76000,85000,49000,61000,77000,207000,233000,172000,200000,61000,185000,113000,343000,211000,111000,85000,
refl: 37000,44000,35000,27000,41000,24000,36000,64000,39000,19000,20000,29000,58000,34000,30000,44000,23000,19000,27000,39000,62000,44000,29000,43000,36000,
symm: 100000,98000,85000,96000,95000,93000,102000,97000,
trans: 370000,380000,359000,296000,310000,283000,264000,298000,261000,130000,106000,369000,386000,110000,342000,302000,320000,295000,286000,297000,301000,289000,143000,122000,
or_pos: 286000,
implies: 381000,
parsing: 26210000,
aci_simp: 1288000,1121000,1151000,1347000,1578000,1157000,1113000,
evaluate: 274000,
subproof: 1926000,
equiv_pos2: 46000,254000,29000,43000,49000,45000,246000,479000,
reordering: 337000,
resolution: 317000,442000,249000,276000,192000,196000,397000,568000,652000,462000,386000,192000,251000,
contraction: 542000,
forall_inst: 936000,
and_simplify: 506000,
implies_neg1: 517000,
implies_neg2: 498000,
__local_input: 199000,
__normalized_input: 3265000,1458000,1609000,1405000,1441000,1437000,1509000,1438000,
rare_rewrite_eq-refl: 169000,
rare_rewrite_eq-symm: 137000,109000,108000,125000,87000,115000,129000,120000,133000,110000,139000,
rare_rewrite_bool-impl-elim: 6737000,7955000,
rare_rewrite_bool-or-de-morgan: 6417000,7335000,
rare_rewrite_bool-and-de-morgan: 6477000,6456000,6431000,7544000,

