1; Draft.Scratch_smt_check_7_16544; 2026-04-10 13:46:34.094;
cong: 195000,112000,566000,
refl: 130000,106000,109000,
symm: 265000,222000,
trans: 326000,
equiv1: 392000,
equiv2: 326000,
or_neg: 475000,466000,467000,477000,
and_neg: 664000,
and_pos: 473000,498000,511000,
implies: 523000,
not_not: 257000,
parsing: 2307000,
subproof: 2355000,
equiv_pos2: 692000,
reordering: 1593000,
resolution: 385000,1104000,3007000,946000,754000,673000,1462000,324000,398000,446000,
contraction: 1244000,761000,839000,
implies_neg1: 947000,
implies_neg2: 750000,
__local_input: 48000,50000,79000,
equiv_simplify: 457000,566000,
__normalized_input: 1261000,1148000,1163000,1225000,
rare_rewrite_bool-double-not-elim: 313000,

