rule,count,total,mean,min,first_quartile,median,third_quartile,max
parsing,2527,73678156000,29156373.56549268,50000,3062000,10536000,30448000,2470469000
rare_rewrite_bool-impl-elim,5807,54407373000,9369273.807473738,5375000,6295000,6935000,11761500,62094000
rare_rewrite_bool-and-de-morgan,6344,54071571000,8523261.506935688,5250000,6044000,6522000,11337250,69375000
__normalized_input,13893,44579453000,3208770.819837328,366000,1038000,1591000,3789000,97467000
resolution,82952,40617630000,489652.20850612404,92000,224000,307000,433000,995454000
poly_simp,6055,17991862000,2971405.7803468206,1371000,1793000,2371000,3263500,44431000
forall_inst,13650,14964403000,1096293.2600732602,558000,738000,862000,1302000,38925000
reordering,13593,14027118000,1031936.879276098,104000,270000,399000,633000,717779000
trans,44881,13951657000,310858.8712372719,51000,165000,233000,341000,50841000
contraction,12486,13417649000,1074615.4893480698,91000,276000,399000,622000,3804427000
subproof,7069,13328662000,1885508.8414202859,935000,1141000,1467000,2145000,56761000
aci_simp,8350,12711940000,1522388.0239520958,833000,1027000,1188000,1843000,64136000
cong,64149,12445650000,194011.59799840994,18000,88000,133000,208000,230027000
rare_rewrite_arith-elim-lt,1367,11950413000,8742072.421360644,5344000,6000500,6547000,11263500,57566000
rare_rewrite_arith-elim-leq,986,8451533000,8571534.48275862,5251000,5975250,6539000,11282000,48495000
rare_rewrite_bool-impl-false1,909,7767819000,8545455.445544554,5328000,6106000,6684000,11244000,30469000
bind,21613,7710159000,356737.1026696895,99000,214000,289000,401000,30996000
rare_rewrite_or-not-refl,824,7001363000,8496799.757281553,5565000,6323250,6826500,11356250,38685000
equiv_pos2,24968,6973446000,279295.33803268184,24000,115000,185000,304000,102739000
and_pos,10488,6798558000,648222.5400457666,59000,184000,317000,608000,53095000
rare_rewrite_bool-eq-false,622,5644186000,9074254.019292604,5173000,6171750,6911500,11454500,36930000
poly_simp_rel,3310,4590863000,1386967.6737160122,837000,1006000,1100000,1772750,22323000
implies_neg1,7081,3937827000,556111.7073859625,66000,248000,366000,574000,35779000
or_neg,10060,3680815000,365886.1829025845,100000,176000,245000,363000,16436000
implies_neg2,7085,3350172000,472854.1990119972,68000,228000,332000,505000,14648000
la_generic,258,3149241000,12206360.46511628,3795000,7230250,10203000,14868500,57650000
rare_rewrite_bool-or-de-morgan,371,2990295000,8060094.339622642,5525000,6172500,6629000,7952500,34679000
rare_rewrite_bool-eq-true,322,2647021000,8220562.111801242,5338000,6079500,6401500,11089000,30555000
implies,6907,2461093000,356318.66222672653,67000,180000,252000,371000,18783000
rare_rewrite_eq-symm,13067,2297973000,175860.79436749063,49000,96000,129000,188000,19726000
rare_rewrite_ite-not-cond,278,2169793000,7805010.791366907,5425000,6112250,6617000,7841000,34984000
sko_forall,974,2098319000,2154331.6221765913,838000,1109250,1645000,2190000,31404000
refl,24833,2045038000,82351.62888092457,12000,28000,43000,74000,17431000
symm,9359,1992661000,212913.87968800086,44000,101000,151000,237000,21719000
rare_rewrite_ite-eq,220,1917117000,8714168.181818182,5783000,6438250,6942500,11170750,33127000
qnt_rm_unused,1216,1753012000,1441621.7105263157,112000,433750,887500,1745250,15066000
or_pos,4701,1723333000,366588.598170602,148000,233000,315000,413000,16056000
hole,2,1640145000,820072500,773138000,796605250,820072500,843539750,867007000
equiv_simplify,4487,1596612000,355830.6217963004,122000,186000,281000,403000,14514000
onepoint,824,1534346000,1862070.3883495145,761000,1067000,1435500,2033500,14084000
rare_rewrite_arith-elim-gt,136,1151677000,8468213.235294119,5441000,6160500,6637500,11329500,40333000
rare_rewrite_bool-double-not-elim,5338,1103080000,206646.68415136755,59000,104000,148000,219000,37598000
equiv1,3079,1030943000,334830.46443650534,59000,126000,210000,345000,15209000
__local_input,14022,1007888000,71879.04721152475,12000,29000,49000,81000,19818000
rare_rewrite_bool-or-and-distrib,112,888204000,7930392.857142857,5578000,6151250,6408000,7695750,26352000
evaluate,2991,848126000,283559.344700769,124000,201000,261000,325000,3368000
equiv2,2715,633265000,233246.77716390425,57000,118000,178000,266000,14411000
rare_rewrite_bool-implies-de-morgan,68,547939000,8057926.470588235,5372000,5951000,6383000,10770000,23061000
and_intro,1578,542922000,344057.03422053234,61000,147000,212500,349750,20675000
connective_def,1213,521263000,429730.42044517724,154000,272000,344000,486000,15570000
miniscope_split,591,487319000,824566.8358714044,206000,370000,512000,811500,23591000
implies_simplify,782,474370000,606611.253196931,130000,278000,413000,660000,13770000
and_neg,1021,462620000,453104.79921645444,126000,204000,304000,463000,19374000
qnt_join,908,381101000,419714.7577092511,162000,262000,340500,465500,9408000
rare_rewrite_arith-geq-tighten,42,381046000,9072523.80952381,5529000,5932500,10494500,11541500,18316000
rare_rewrite_arith-leq-norm,38,328000000,8631578.94736842,5239000,5722750,6011500,10589000,25223000
rare_rewrite_bool-not-eq-elim1,38,304397000,8010447.368421053,5495000,5690250,6034500,7023500,33820000
not_not,1392,281571000,202278.0172413793,87000,128000,180000,240000,1693000
not_and,718,280013000,389990.2506963788,108000,205000,280500,428250,11848000
rare_rewrite_eq-refl,1765,276987000,156933.14447592068,48000,84000,114000,167000,4616000
and,1042,216285000,207567.17850287908,58000,101250,140000,214750,21999000
la_mult_neg,395,168681000,427040.5063291139,176000,288000,350000,458500,11039000
equiv_pos1,1253,143983000,114910.61452513967,29000,61000,86000,137000,1259000
rare_rewrite_arith-geq-norm1-real,11,110543000,10049363.636363637,6128000,6278000,7622000,12766500,19883000
miniscope_distribute,144,108670000,754652.7777777778,196000,351000,467000,752750,7446000
comp_simplify,62,102195000,1648306.4516129033,1275000,1395000,1462500,1622250,2949000
rare_rewrite_ite-true-cond,10,84642000,8464200,5725000,6032000,6596500,10157500,18125000
rare_rewrite_bool-eq-nrefl,11,81955000,7450454.545454546,5599000,5690000,5959000,8900500,12002000
or_simplify,129,79328000,614945.7364341086,411000,445000,466000,531000,9813000
rare_rewrite_bool-or-taut2,8,70456000,8807000,5743000,6296750,9077500,10891000,11969000
rare_rewrite_ite-then-true,6,56228000,9371333.333333334,6045000,6403000,9645500,12261000,12437000
choice,978,55674000,56926.38036809816,20000,35000,51000,76000,276000
rare_rewrite_ite-else-true,2,54856000,27428000,11363000,19395500,27428000,35460500,43493000
rare_rewrite_bool-not-eq-elim2,7,53381000,7625857.142857143,5760000,6025500,6085000,8854500,11776000
rare_rewrite_bool-impl-true2,5,48860000,9772000,6030000,7177000,11089000,11312000,13252000
not_or,124,47955000,386733.87096774194,118000,282000,332000,493500,932000
rare_rewrite_ite-false-cond,6,43953000,7325500,6186000,6397500,6572000,6636250,11626000
rare_rewrite_eq-ite-lift,4,40090000,10022500,6868000,7177000,9270500,12116000,14681000
ite2,162,39185000,241882.71604938273,60000,136000,185500,276500,1687000
rare_rewrite_bool-not-ite-elim,5,38907000,7781400,6308000,6370000,6446000,6488000,13295000
rare_rewrite_ite-then-false,4,35529000,8882250,5899000,6327250,8937500,11492500,11755000
and_simplify,37,35138000,949675.6756756756,430000,483000,509000,827000,12799000
ite1,129,25609000,198519.37984496125,68000,116000,142000,209000,1418000
not_symm,197,25351000,128685.27918781726,41000,83000,120000,161000,338000
not_equiv2,102,20186000,197901.96078431373,80000,128000,169000,222000,942000
not_equiv1,100,20152000,201520,62000,123750,175500,233000,991000
rare_rewrite_ite-else-false,2,13955000,6977500,6223000,6600250,6977500,7354750,7732000
true,220,13411000,60959.09090909091,33000,46000,54000,75250,123000
la_mult_pos,28,12848000,458857.14285714284,226000,312250,395500,578750,940000
rare_rewrite_bool-impl-false2,1,12406000,12406000,12406000,12406000,12406000,12406000,12406000
rare_rewrite_arith-geq-norm1-int,2,11875000,5937500,5578000,5757750,5937500,6117250,6297000
rare_rewrite_ite-eq-branch,1,6809000,6809000,6809000,6809000,6809000,6809000,6809000
