rule,count,total,mean,min,first_quartile,median,third_quartile,max
parsing,2273,46404315000,20415448.74615046,206000,3862000,10536000,27077000,110141000
rare_rewrite_bool-impl-elim,5225,45672977000,8741239.61722488,5861000,6337000,6935000,11667000,19109000
rare_rewrite_bool-and-de-morgan,5708,45194775000,7917795.199719692,5642000,6080000,6522000,11132000,14660000
__normalized_input,12505,32717337000,2616340.4238304677,775000,1072000,1589000,3415000,10549000
resolution,74846,25742694000,343942.1478769741,159000,232000,306000,415000,915000
poly_simp,5451,14372908000,2636747.0188956154,1558000,1820000,2371000,3176500,6137000
forall_inst,12288,12250463000,996945.2311197916,652000,748000,862000,1275000,1686000
trans,40403,10694149000,264687.0034403386,104000,171000,233000,326000,671000
subproof,6366,10633623000,1670377.4740810555,1035000,1154000,1466000,2103000,3264000
aci_simp,7521,10384836000,1380778.6198643798,927000,1039000,1188000,1780000,2438000
rare_rewrite_arith-elim-lt,1229,9954669000,8099812.042310822,5655000,6037000,6547000,11135000,17336000
cong,57873,9085362000,156987.9218288321,54000,92000,133000,197000,452000
rare_rewrite_arith-elim-leq,886,7096888000,8010031.6027088035,5570000,6041000,6539000,11133750,14978000
rare_rewrite_bool-impl-false1,817,6593851000,8070809.057527539,5669000,6158000,6684000,11091000,13527000
bind,19486,6164825000,316372.0106743303,148000,220000,289000,385000,697000
reordering,12241,6082494000,496895.18830160936,181000,282000,399000,596000,1991000
rare_rewrite_or-not-refl,740,5961954000,8056694.594594595,5935000,6360500,6826500,9850250,13435000
contraction,11247,5448213000,484414.7772739397,183000,285000,398000,584000,1618000
equiv_pos2,22490,4973266000,221132.3254779902,52000,121000,185000,287000,675000
rare_rewrite_bool-eq-false,558,4717208000,8453777.777777778,5727000,6222250,6911500,11358000,16078000
and_pos,9448,4268982000,451839.75444538525,101000,192000,317000,555250,2423000
poly_simp_rel,2980,3869244000,1298404.0268456375,937000,1013000,1100000,1672000,2198000
implies_neg1,6379,2807439000,440106.4430161467,148000,258000,366000,540000,1492000
la_generic,232,2639998000,11379301.72413793,4837000,7571500,10203000,14431250,26393000
or_neg,9071,2623749000,289245.8383860655,136000,181000,245000,341000,852000
rare_rewrite_bool-or-de-morgan,333,2521559000,7572249.24924925,5733000,6219000,6629000,7591000,13963000
implies_neg2,6381,2489577000,390154.67795016454,138000,238000,332000,481000,1135000
rare_rewrite_bool-eq-true,288,2231317000,7747628.472222222,5756000,6103750,6401500,10741500,12755000
