1; Draft.Scratch_smt_check_7_2877; 2026-04-10 13:50:33.934;
bind: 462000,532000,466000,504000,
cong: 120000,91000,179000,86000,85000,102000,206000,77000,63000,104000,362000,136000,117000,
refl: 43000,
symm: 118000,117000,119000,
trans: 128000,418000,500000,342000,
and_pos: 160000,
implies: 363000,
parsing: 4749000,
subproof: 1327000,
equiv_pos2: 84000,302000,303000,465000,90000,
reordering: 219000,430000,
resolution: 244000,253000,221000,243000,366000,434000,502000,455000,277000,407000,
contraction: 543000,
forall_inst: 1005000,
implies_neg1: 482000,
implies_neg2: 437000,
__local_input: 206000,
__normalized_input: 13860000,2537000,2797000,654000,615000,644000,
rare_rewrite_eq-symm: 299000,298000,111000,309000,

