1; Draft.Scratch_smt_check_7_13421; 2026-04-10 13:50:34.831;
bind: 371000,370000,350000,377000,380000,
cong: 125000,91000,72000,64000,42000,55000,82000,81000,78000,107000,69000,59000,40000,55000,75000,107000,95000,97000,56000,61000,64000,80000,281000,140000,
refl: 16000,16000,23000,15000,17000,19000,17000,19000,25000,
trans: 319000,180000,311000,
or_pos: 212000,253000,
implies: 274000,
parsing: 14297000,
subproof: 1652000,
equiv_pos2: 233000,240000,79000,239000,375000,
reordering: 258000,355000,
resolution: 234000,336000,252000,207000,241000,315000,266000,367000,435000,446000,275000,347000,
contraction: 427000,
forall_inst: 810000,928000,
implies_neg1: 393000,
implies_neg2: 355000,
__local_input: 164000,
__normalized_input: 22141000,7221000,4475000,1253000,1347000,
rare_rewrite_eq-symm: 190000,
rare_rewrite_bool-impl-elim: 6169000,6862000,7082000,

