1; Draft.Scratch_smt_check_7_3075; 2026-04-10 13:52:13.583;
bind: 271000,
cong: 78000,78000,108000,97000,84000,68000,
refl: 31000,15000,19000,
symm: 155000,109000,
false: 12000,
trans: 152000,
equiv2: 198000,191000,
or_pos: 278000,
not_not: 183000,
parsing: 993000,
evaluate: 247000,
equiv_pos2: 142000,74000,80000,33000,
reordering: 399000,
resolution: 143000,190000,204000,256000,282000,285000,259000,261000,209000,265000,
forall_inst: 852000,
equiv_simplify: 276000,270000,
__normalized_input: 983000,660000,686000,579000,718000,
rare_rewrite_bool-impl-elim: 5847000,

