1; Draft.Scratch_smt_check_7_16616; 2026-04-10 13:52:19.054;
bind: 586000,619000,717000,562000,380000,
cong: 209000,
refl: 100000,
trans: 454000,463000,
or_pos: 596000,322000,276000,406000,296000,
implies: 288000,
parsing: 3361000,
aci_simp: 2116000,
subproof: 1637000,
equiv_pos2: 305000,336000,410000,157000,229000,
reordering: 902000,398000,596000,623000,423000,
resolution: 480000,548000,592000,551000,595000,622000,738000,615000,484000,556000,646000,529000,529000,559000,455000,470000,298000,360000,
contraction: 461000,
forall_inst: 1688000,2019000,1755000,905000,902000,
implies_neg1: 395000,
implies_neg2: 384000,
__local_input: 224000,
__normalized_input: 2500000,2416000,2384000,2291000,2335000,2462000,
rare_rewrite_bool-impl-elim: 12107000,11990000,12094000,8620000,6237000,
rare_rewrite_bool-and-de-morgan: 11414000,

