1; Draft.Scratch_smt_check_7_32337; 2026-04-10 13:47:26.184;
bind: 443000,478000,
cong: 355000,238000,122000,
or_pos: 455000,
implies: 355000,
parsing: 8662000,
subproof: 3060000,
equiv_pos1: 63000,69000,
equiv_pos2: 313000,298000,490000,66000,
reordering: 513000,347000,335000,394000,
resolution: 364000,314000,412000,463000,505000,618000,661000,410000,547000,335000,375000,290000,354000,
contraction: 662000,
forall_inst: 1443000,1176000,1203000,
implies_neg1: 469000,
implies_neg2: 478000,
__local_input: 200000,
__normalized_input: 1232000,1079000,797000,721000,838000,
rare_rewrite_eq-symm: 189000,213000,
rare_rewrite_bool-impl-elim: 11533000,11592000,

