1; Draft.Scratch_smt_check_7_31576; 2026-04-10 13:51:29.600;
bind: 411000,346000,327000,456000,
cong: 175000,140000,212000,140000,90000,70000,54000,129000,176000,148000,
refl: 40000,148000,53000,41000,19000,25000,33000,31000,225000,
symm: 147000,155000,
trans: 339000,279000,303000,266000,294000,248000,298000,157000,347000,284000,302000,277000,287000,
equiv1: 207000,
equiv2: 159000,159000,
or_neg: 204000,224000,251000,
or_pos: 321000,272000,256000,357000,
and_neg: 263000,
and_pos: 174000,181000,188000,167000,176000,250000,
implies: 237000,236000,199000,337000,
not_and: 229000,
not_not: 176000,
parsing: 6407000,
aci_simp: 1270000,1110000,1267000,1179000,1562000,1218000,
evaluate: 309000,
subproof: 1267000,1292000,1240000,2585000,
and_intro: 177000,
equiv_pos1: 67000,
equiv_pos2: 233000,208000,186000,141000,134000,32000,88000,443000,
reordering: 427000,327000,338000,313000,354000,294000,371000,415000,450000,
resolution: 625000,413000,388000,213000,290000,244000,294000,303000,246000,344000,378000,378000,285000,297000,374000,381000,239000,290000,370000,301000,246000,404000,381000,254000,261000,274000,297000,602000,231000,227000,269000,249000,321000,349000,669000,511000,641000,439000,438000,
contraction: 337000,296000,204000,242000,243000,287000,520000,
forall_inst: 877000,922000,1165000,891000,1792000,
implies_neg1: 295000,199000,255000,971000,
implies_neg2: 308000,188000,245000,414000,
__local_input: 113000,26000,115000,85000,110000,33000,73000,502000,
equiv_simplify: 248000,231000,
implies_simplify: 278000,
__normalized_input: 72899000,26987000,27040000,26186000,14922000,8572000,8351000,6967000,3600000,3403000,
rare_rewrite_eq-symm: 261000,
rare_rewrite_bool-impl-elim: 7097000,6656000,6333000,18244000,
rare_rewrite_bool-and-de-morgan: 6138000,6441000,6444000,7596000,7260000,
rare_rewrite_bool-double-not-elim: 167000,

