1; Draft.Scratch_smt_check_7_11304; 2026-04-10 13:51:29.912;
bind: 594000,650000,445000,387000,271000,
cong: 219000,116000,142000,71000,
refl: 60000,47000,391000,46000,
symm: 298000,344000,131000,150000,
false: 20000,
trans: 314000,624000,557000,489000,292000,610000,539000,557000,313000,231000,243000,
equiv2: 169000,165000,
or_pos: 254000,
not_not: 176000,
parsing: 3324000,
aci_simp: 1891000,1081000,1110000,
evaluate: 414000,274000,
onepoint: 2418000,
qnt_join: 336000,
equiv_pos1: 50000,
equiv_pos2: 211000,123000,33000,
reordering: 282000,298000,
resolution: 390000,406000,406000,621000,483000,577000,208000,244000,225000,287000,311000,
forall_inst: 815000,805000,
qnt_rm_unused: 461000,1386000,
equiv_simplify: 245000,238000,
__normalized_input: 1423000,1426000,583000,531000,697000,
rare_rewrite_eq-refl: 279000,
rare_rewrite_eq-symm: 193000,
rare_rewrite_or-not-refl: 8602000,
rare_rewrite_bool-impl-elim: 6079000,
rare_rewrite_bool-and-de-morgan: 5855000,

