1; Draft.Scratch_smt_check_7_743; 2026-04-10 13:48:44.418;
cong: 181000,99000,316000,
refl: 60000,
symm: 299000,
false: 23000,
trans: 228000,
equiv2: 304000,360000,
implies: 342000,306000,
not_not: 307000,
parsing: 2127000,
evaluate: 343000,
subproof: 1989000,
equiv_pos2: 425000,96000,52000,
reordering: 443000,435000,
resolution: 286000,278000,317000,405000,315000,317000,296000,319000,303000,469000,553000,571000,357000,
contraction: 497000,
forall_inst: 1379000,1339000,
implies_neg1: 452000,
implies_neg2: 437000,
__local_input: 97000,
equiv_simplify: 429000,491000,
__normalized_input: 2181000,1806000,1201000,858000,1086000,
rare_rewrite_eq-symm: 388000,

