1; Draft.Scratch_smt_check_7_17999; 2026-04-10 13:50:39.329;
bind: 577000,592000,528000,614000,634000,
cong: 115000,124000,73000,111000,82000,168000,110000,176000,
refl: 30000,706000,
symm: 493000,683000,
trans: 336000,521000,497000,522000,459000,335000,675000,514000,545000,544000,
or_pos: 520000,
parsing: 2646000,
aci_simp: 1990000,2283000,
evaluate: 473000,
onepoint: 2044000,
qnt_join: 552000,
equiv_pos2: 139000,284000,
reordering: 685000,
resolution: 490000,623000,463000,612000,576000,
forall_inst: 1438000,1542000,
qnt_rm_unused: 745000,1733000,
__normalized_input: 33391000,18540000,2218000,1967000,1944000,
rare_rewrite_eq-refl: 300000,
rare_rewrite_or-not-refl: 12600000,
rare_rewrite_bool-eq-false: 12143000,
rare_rewrite_bool-impl-elim: 12022000,

