1; Draft.Scratch_smt_check_7_19854; 2026-04-10 13:47:15.013;
cong: 65000,65000,68000,75000,58000,182000,
refl: 20000,
trans: 122000,109000,
equiv1: 123000,
equiv2: 130000,
implies: 207000,
not_not: 125000,
parsing: 1856000,
subproof: 1108000,
equiv_pos2: 61000,44000,50000,221000,
reordering: 240000,
resolution: 153000,202000,166000,165000,228000,210000,204000,271000,293000,304000,300000,
contraction: 254000,
forall_inst: 758000,
implies_neg1: 237000,
implies_neg2: 220000,
__local_input: 50000,
equiv_simplify: 208000,199000,
__normalized_input: 29812000,1641000,902000,845000,1026000,
rare_rewrite_eq-symm: 112000,164000,

