1; Draft.Scratch_smt_check_7_30933; 2026-04-10 13:44:11.484;
and: 68000,92000,116000,122000,
bind: 338000,354000,330000,319000,600000,688000,536000,519000,
cong: 233000,114000,66000,219000,97000,48000,70000,55000,77000,44000,66000,200000,207000,148000,180000,59000,177000,105000,47000,66000,84000,378000,179000,102000,368000,169000,88000,115000,95000,110000,77000,99000,106000,318000,320000,231000,314000,87000,306000,177000,572000,330000,166000,96000,
refl: 27000,42000,36000,24000,37000,24000,33000,50000,37000,19000,21000,45000,86000,57000,48000,71000,35000,28000,27000,56000,77000,67000,49000,128000,59000,
symm: 59000,61000,49000,58000,93000,103000,88000,98000,
trans: 305000,309000,328000,236000,263000,240000,219000,217000,204000,90000,76000,595000,564000,152000,519000,443000,474000,426000,409000,382000,388000,419000,170000,140000,
or_pos: 255000,
implies: 280000,
parsing: 46644000,
aci_simp: 1212000,1044000,1145000,2262000,1924000,1952000,1871000,
evaluate: 273000,
subproof: 15651000,
equiv_pos2: 42000,241000,29000,47000,49000,72000,441000,769000,
reordering: 296000,
resolution: 274000,296000,233000,234000,160000,181000,385000,538000,795000,629000,492000,367000,283000,
contraction: 489000,
forall_inst: 1635000,
and_simplify: 836000,
implies_neg1: 755000,
implies_neg2: 444000,
__local_input: 124000,
__normalized_input: 2057000,1259000,1041000,1082000,1023000,1052000,1085000,994000,
rare_rewrite_eq-refl: 127000,
rare_rewrite_eq-symm: 92000,72000,72000,91000,67000,80000,159000,106000,120000,120000,135000,
rare_rewrite_bool-impl-elim: 6739000,11899000,
rare_rewrite_bool-or-de-morgan: 6234000,11460000,
rare_rewrite_bool-and-de-morgan: 6355000,6528000,11547000,11908000,

