1; Draft.Scratch_smt_check_7_27559; 2026-04-10 13:47:35.465;
cong: 89000,162000,80000,101000,93000,
refl: 33000,
trans: 144000,156000,150000,135000,
implies: 174000,123000,
parsing: 2707000,
aci_simp: 889000,
subproof: 1064000,991000,
equiv_pos1: 37000,
equiv_pos2: 72000,191000,38000,74000,
reordering: 232000,195000,
resolution: 169000,218000,187000,179000,178000,187000,273000,332000,304000,214000,243000,249000,172000,253000,
contraction: 272000,179000,
forall_inst: 667000,720000,667000,
implies_neg1: 256000,160000,
implies_neg2: 257000,146000,
__local_input: 49000,46000,
connective_def: 217000,204000,
__normalized_input: 19522000,6286000,6337000,1155000,
rare_rewrite_eq-refl: 129000,
rare_rewrite_eq-symm: 130000,
rare_rewrite_bool-double-not-elim: 142000,140000,

