1; Draft.Scratch_smt_check_7_15718; 2026-04-10 13:48:39.855;
bind: 353000,358000,203000,212000,
cong: 170000,131000,168000,128000,464000,348000,242000,199000,143000,299000,159000,103000,108000,154000,157000,121000,358000,248000,183000,186000,157000,153000,323000,117000,160000,108000,137000,
refl: 69000,57000,37000,23000,135000,31000,27000,24000,32000,
symm: 194000,213000,151000,168000,
trans: 195000,217000,125000,200000,222000,124000,371000,353000,291000,324000,328000,279000,152000,173000,247000,
equiv1: 246000,
equiv2: 264000,
or_pos: 410000,
implies: 366000,233000,144000,
not_not: 212000,
parsing: 26830000,
aci_simp: 1140000,1201000,
evaluate: 547000,
subproof: 1330000,1326000,1266000,
poly_simp: 2485000,2413000,1874000,2240000,
equiv_pos2: 252000,315000,581000,169000,143000,146000,364000,207000,254000,281000,
reordering: 625000,1090000,
resolution: 217000,347000,339000,334000,489000,621000,624000,344000,354000,169000,183000,225000,217000,339000,312000,247000,248000,213000,236000,389000,509000,508000,271000,281000,174000,251000,283000,298000,245000,304000,
contraction: 567000,432000,232000,
forall_inst: 1069000,612000,807000,818000,886000,1080000,896000,
or_simplify: 513000,
implies_neg1: 494000,366000,212000,
implies_neg2: 568000,473000,202000,
__local_input: 121000,91000,52000,
poly_simp_rel: 1093000,1594000,1073000,1264000,
equiv_simplify: 382000,308000,
__normalized_input: 18413000,17282000,11797000,5641000,5136000,2263000,1492000,1465000,1637000,
rare_rewrite_eq-symm: 367000,143000,145000,255000,
rare_rewrite_bool-eq-true: 6965000,
rare_rewrite_bool-impl-elim: 6503000,6750000,
rare_rewrite_bool-and-de-morgan: 6392000,6515000,
rare_rewrite_bool-double-not-elim: 86000,110000,89000,115000,

