1; Draft.Scratch_smt_check_7_22638; 2026-04-10 13:48:39.865;
and: 147000,99000,170000,
bind: 228000,283000,213000,267000,349000,245000,
cong: 82000,71000,91000,50000,58000,94000,74000,88000,52000,60000,92000,168000,68000,247000,
refl: 18000,18000,41000,56000,64000,
symm: 81000,86000,90000,105000,
trans: 115000,
choice: 78000,
equiv1: 178000,
equiv2: 104000,104000,
or_neg: 176000,209000,166000,223000,167000,
or_pos: 212000,250000,199000,400000,
and_pos: 137000,142000,137000,135000,140000,144000,
implies: 133000,189000,
not_and: 176000,
not_not: 122000,
parsing: 21781000,
evaluate: 206000,
subproof: 1110000,1105000,1445000,
and_intro: 171000,
equiv_neg1: 37000,
equiv_neg2: 32000,
equiv_pos1: 56000,62000,
equiv_pos2: 107000,159000,52000,124000,157000,61000,76000,132000,107000,27000,218000,222000,
reordering: 234000,234000,262000,188000,305000,278000,296000,374000,225000,440000,427000,
resolution: 186000,183000,225000,275000,192000,245000,298000,183000,385000,370000,176000,261000,189000,297000,293000,288000,401000,310000,277000,360000,344000,197000,205000,223000,224000,527000,204000,194000,201000,148000,174000,207000,336000,307000,296000,599000,181000,222000,305000,
sko_forall: 1142000,
contraction: 230000,219000,290000,198000,218000,252000,346000,
forall_inst: 755000,879000,763000,803000,801000,1475000,
implies_neg1: 180000,181000,464000,
implies_neg2: 268000,139000,238000,
__local_input: 72000,21000,40000,35000,39000,72000,92000,
equiv_simplify: 182000,183000,
implies_simplify: 254000,
__normalized_input: 13429000,6401000,4227000,4126000,3979000,1185000,1111000,
rare_rewrite_bool-impl-elim: 6272000,7169000,6715000,30394000,
rare_rewrite_bool-double-not-elim: 153000,418000,

