1; Draft.Scratch_smt_check_7_13701; 2026-04-10 13:42:53.310;
bind: 618000,506000,633000,574000,634000,
cong: 411000,311000,444000,368000,333000,
refl: 42000,30000,
trans: 504000,554000,407000,505000,539000,564000,492000,532000,512000,
parsing: 26728000,
aci_simp: 2234000,2339000,
poly_simp: 3404000,6641000,
equiv_pos2: 454000,483000,
resolution: 224000,534000,395000,579000,
poly_simp_rel: 2181000,2200000,
connective_def: 727000,
miniscope_split: 822000,
__normalized_input: 3701000,1433000,975000,
rare_rewrite_arith-elim-leq: 12219000,24112000,
rare_rewrite_bool-impl-elim: 12552000,
rare_rewrite_bool-and-de-morgan: 12304000,12280000,

