1; Draft.Scratch_smt_check_7_9841; 2026-04-10 13:51:54.249;
and: 298000,288000,383000,405000,
bind: 1652000,1395000,650000,344000,317000,419000,316000,
cong: 163000,96000,124000,95000,120000,692000,113000,152000,83000,151000,93000,144000,668000,451000,431000,519000,325000,351000,140000,144000,
refl: 32000,39000,104000,39000,54000,717000,70000,34000,38000,103000,86000,20000,32000,105000,
symm: 439000,312000,322000,415000,
trans: 1857000,1621000,1100000,1185000,1070000,993000,940000,4665000,480000,345000,319000,
equiv1: 354000,
or_pos: 699000,
and_pos: 160000,
parsing: 11928000,
aci_simp: 4755000,3783000,1149000,1502000,1181000,
equiv_pos2: 111000,119000,100000,442000,195000,
reordering: 215000,858000,
resolution: 1488000,610000,686000,1632000,1214000,727000,241000,432000,364000,
forall_inst: 1163000,
__normalized_input: 19957000,4310000,1392000,675000,495000,480000,602000,
rare_rewrite_bool-impl-elim: 12599000,6353000,7983000,
rare_rewrite_bool-and-de-morgan: 18675000,20913000,17959000,13752000,

