1; Draft.Scratch_smt_check_7_28112; 2026-04-10 13:51:55.273;
and: 271000,253000,281000,264000,
bind: 712000,687000,696000,423000,372000,309000,
cong: 57000,50000,56000,308000,62000,86000,52000,94000,341000,235000,205000,221000,317000,359000,153000,170000,248000,508000,124000,84000,106000,86000,81000,113000,146000,103000,101000,83000,86000,93000,74000,83000,648000,
refl: 45000,20000,29000,104000,24000,18000,21000,56000,51000,22000,34000,177000,26000,30000,34000,106000,91000,88000,93000,
symm: 262000,297000,319000,353000,312000,
trans: 184000,693000,601000,532000,565000,447000,441000,416000,391000,449000,351000,307000,431000,368000,351000,
choice: 72000,
equiv1: 1050000,
equiv2: 373000,348000,
or_neg: 262000,294000,256000,277000,610000,637000,640000,594000,609000,623000,608000,
or_pos: 498000,1024000,
and_neg: 469000,
and_pos: 299000,295000,693000,1134000,803000,707000,1940000,843000,723000,717000,678000,709000,
implies: 592000,1063000,
not_and: 687000,
not_not: 346000,
parsing: 16578000,
aci_simp: 1757000,1281000,1192000,1667000,
evaluate: 490000,
subproof: 2523000,2472000,2931000,
and_intro: 747000,
equiv_pos2: 58000,503000,171000,207000,363000,600000,69000,96000,100000,51000,106000,717000,
reordering: 305000,547000,398000,384000,698000,1617000,2985000,3557000,
resolution: 295000,267000,234000,416000,658000,497000,296000,861000,340000,432000,288000,349000,818000,880000,898000,784000,689000,424000,515000,492000,1457000,4152000,667000,659000,827000,723000,2644000,452000,400000,498000,429000,445000,407000,532000,1357000,1175000,2907000,522000,445000,468000,
sko_forall: 2564000,
contraction: 352000,894000,851000,1713000,898000,1260000,1485000,1640000,
forall_inst: 833000,1294000,1397000,1514000,1444000,1591000,1449000,1584000,
implies_neg1: 759000,1104000,1509000,
implies_neg2: 746000,679000,1482000,
__local_input: 243000,70000,85000,124000,144000,190000,91000,79000,84000,128000,137000,
equiv_simplify: 519000,483000,
implies_simplify: 1248000,
__normalized_input: 17635000,14088000,3236000,1734000,1792000,1159000,1018000,1029000,1081000,987000,1133000,
rare_rewrite_bool-impl-elim: 7243000,6803000,23686000,
rare_rewrite_bool-and-de-morgan: 5704000,6411000,6612000,6532000,
rare_rewrite_bool-double-not-elim: 161000,177000,612000,329000,320000,398000,

