1; Draft.Scratch_smt_check_7_14020; 2026-04-10 13:51:56.026;
and: 194000,379000,365000,
cong: 150000,141000,94000,278000,253000,248000,175000,395000,206000,166000,192000,355000,295000,269000,135000,360000,195000,119000,184000,347000,687000,
refl: 58000,53000,117000,86000,55000,109000,
symm: 220000,632000,458000,521000,414000,930000,407000,619000,393000,852000,
trans: 390000,699000,618000,887000,851000,654000,591000,921000,855000,
equiv1: 676000,424000,
equiv2: 801000,852000,814000,
or_neg: 567000,529000,508000,539000,570000,
and_pos: 1020000,1042000,1555000,1641000,1423000,1540000,1652000,
implies: 352000,2017000,
not_and: 548000,
not_not: 579000,605000,
parsing: 7695000,
evaluate: 520000,
subproof: 1282000,2806000,3884000,
and_intro: 1016000,
equiv_pos2: 190000,334000,335000,407000,56000,335000,205000,764000,
reordering: 947000,8121000,
resolution: 346000,373000,329000,279000,290000,446000,477000,458000,320000,319000,1069000,3303000,551000,408000,511000,432000,808000,432000,554000,593000,746000,570000,694000,879000,696000,613000,619000,2093000,1681000,8741000,572000,618000,620000,681000,758000,582000,557000,585000,372000,
contraction: 475000,1566000,583000,592000,2673000,3361000,
forall_inst: 959000,890000,980000,1127000,1935000,2200000,2154000,1932000,1847000,1618000,1880000,1102000,
implies_neg1: 443000,1398000,1605000,
implies_neg2: 471000,445000,2538000,
__local_input: 112000,186000,300000,94000,67000,63000,82000,298000,
equiv_simplify: 980000,1151000,1004000,520000,
implies_simplify: 823000,
__normalized_input: 1446000,1219000,1188000,760000,885000,
rare_rewrite_eq-symm: 361000,814000,820000,
rare_rewrite_bool-eq-false: 13258000,13079000,13114000,10854000,
rare_rewrite_bool-double-not-elim: 439000,

