1; Draft.Scratch_smt_check_7_22907; 2026-04-10 13:51:55.794;
and: 160000,305000,314000,
bind: 191000,359000,370000,
cong: 98000,91000,65000,174000,149000,83000,234000,116000,116000,103000,235000,212000,162000,86000,228000,118000,123000,115000,248000,569000,
refl: 144000,110000,65000,
symm: 152000,515000,341000,398000,303000,725000,307000,387000,275000,626000,
trans: 372000,558000,632000,597000,487000,617000,631000,
equiv1: 1169000,613000,
equiv2: 604000,473000,483000,
or_neg: 671000,643000,869000,696000,
and_pos: 942000,763000,888000,777000,725000,801000,
implies: 1123000,
not_and: 643000,
not_not: 465000,402000,
parsing: 4001000,
evaluate: 508000,
subproof: 2566000,2990000,
and_intro: 652000,
equiv_pos2: 93000,79000,177000,142000,293000,51000,182000,144000,297000,709000,
reordering: 1322000,3109000,
resolution: 279000,310000,207000,278000,260000,287000,703000,12582000,689000,687000,789000,983000,1035000,437000,498000,532000,563000,463000,586000,645000,497000,406000,560000,1262000,1099000,2290000,548000,534000,448000,578000,640000,499000,417000,532000,547000,
contraction: 795000,859000,932000,2170000,1625000,
forall_inst: 737000,864000,966000,1751000,1624000,1363000,1667000,1379000,1934000,
implies_neg1: 938000,1515000,
implies_neg2: 651000,1436000,
__local_input: 131000,236000,124000,98000,75000,220000,
equiv_simplify: 779000,616000,650000,765000,
implies_simplify: 1121000,
__normalized_input: 34492000,2478000,1144000,999000,1161000,
rare_rewrite_eq-symm: 172000,328000,597000,311000,608000,
rare_rewrite_bool-eq-false: 12039000,12051000,12075000,12167000,
rare_rewrite_bool-double-not-elim: 512000,

