1; Draft.Scratch_smt_check_7_16610; 2026-04-10 13:51:55.374;
and: 163000,174000,304000,
cong: 108000,135000,59000,281000,108000,106000,62000,160000,97000,202000,110000,276000,208000,181000,105000,265000,138000,173000,110000,268000,900000,
refl: 57000,56000,155000,126000,171000,95000,
symm: 149000,286000,160000,347000,686000,311000,402000,779000,
trans: 203000,354000,513000,672000,695000,663000,566000,4950000,833000,
equiv1: 516000,652000,
equiv2: 333000,279000,639000,
or_neg: 447000,433000,443000,418000,520000,
and_pos: 442000,443000,1174000,1184000,1186000,1056000,1170000,
implies: 340000,1551000,
not_and: 463000,
not_not: 240000,526000,
parsing: 6488000,
evaluate: 510000,
subproof: 1294000,1608000,3337000,
and_intro: 716000,
equiv_pos2: 114000,329000,121000,343000,84000,218000,370000,1162000,
reordering: 739000,5893000,
resolution: 332000,319000,238000,279000,405000,477000,461000,318000,260000,291000,950000,2892000,465000,370000,441000,370000,608000,233000,270000,305000,318000,268000,339000,365000,505000,574000,513000,1722000,1340000,3970000,495000,659000,496000,632000,629000,1214000,610000,686000,606000,
contraction: 465000,1248000,482000,487000,1985000,2453000,
forall_inst: 896000,1009000,863000,1074000,1049000,1698000,1784000,1661000,1801000,2044000,1550000,1984000,
implies_neg1: 430000,1041000,2389000,
implies_neg2: 454000,362000,1909000,
__local_input: 98000,133000,267000,118000,124000,122000,87000,326000,
equiv_simplify: 418000,387000,748000,836000,
implies_simplify: 629000,
__normalized_input: 52107000,2317000,1266000,1154000,756000,1248000,
rare_rewrite_eq-symm: 335000,731000,707000,
rare_rewrite_bool-eq-false: 12758000,12695000,13197000,13211000,
rare_rewrite_bool-double-not-elim: 720000,

