1; Draft.Scratch_smt_check_7_16172; 2026-04-10 13:45:16.082;
and: 173000,
bind: 264000,364000,210000,254000,251000,369000,350000,
cong: 239000,155000,136000,166000,120000,98000,168000,265000,126000,104000,226000,202000,119000,155000,114000,120000,145000,99000,92000,78000,109000,124000,
refl: 44000,467000,112000,126000,85000,34000,
symm: 215000,280000,120000,
trans: 178000,126000,137000,153000,159000,157000,317000,297000,349000,206000,158000,107000,230000,205000,230000,244000,371000,243000,
or_neg: 353000,
or_pos: 384000,454000,
implies: 211000,
parsing: 36561000,
aci_simp: 963000,1868000,1832000,1782000,
evaluate: 294000,
onepoint: 1617000,
qnt_join: 291000,
subproof: 1114000,
equiv_pos1: 104000,
equiv_pos2: 306000,270000,313000,187000,191000,
reordering: 396000,576000,777000,435000,
resolution: 141000,262000,202000,347000,377000,360000,225000,239000,263000,272000,325000,357000,410000,453000,435000,
contraction: 328000,
forall_inst: 870000,1588000,5514000,
implies_neg1: 264000,
implies_neg2: 330000,
__local_input: 80000,
qnt_rm_unused: 377000,1595000,
__normalized_input: 3420000,7361000,2617000,768000,760000,894000,896000,
miniscope_distribute: 635000,
rare_rewrite_eq-refl: 100000,
rare_rewrite_eq-symm: 122000,
rare_rewrite_or-not-refl: 11844000,
rare_rewrite_bool-impl-elim: 14705000,
rare_rewrite_bool-impl-false1: 6548000,22741000,12032000,
rare_rewrite_bool-or-de-morgan: 11999000,
rare_rewrite_bool-and-de-morgan: 6252000,6914000,
rare_rewrite_bool-or-and-distrib: 12003000,
rare_rewrite_bool-double-not-elim: 92000,67000,77000,

