1; Draft.Scratch_smt_check_7_30049; 2026-04-10 13:44:11.129;
cong: 129000,68000,70000,159000,109000,68000,
refl: 36000,35000,
symm: 105000,
trans: 176000,
equiv1: 180000,
equiv2: 169000,
implies: 150000,
not_not: 168000,
parsing: 876000,
subproof: 1935000,
equiv_pos2: 105000,
resolution: 219000,237000,257000,293000,239000,362000,348000,400000,4202000,
contraction: 279000,
forall_inst: 1071000,
implies_neg1: 199000,
implies_neg2: 211000,
__local_input: 37000,
equiv_simplify: 308000,299000,
__normalized_input: 930000,845000,820000,838000,957000,

