1; Draft.Scratch_smt_check_7_25526; 2026-04-10 13:44:10.808;
bind: 422000,395000,584000,
cong: 173000,186000,107000,124000,82000,171000,187000,95000,83000,93000,164000,295000,93000,
refl: 56000,47000,85000,
symm: 128000,174000,160000,
trans: 193000,
choice: 95000,
or_neg: 313000,341000,
or_pos: 430000,
and_neg: 362000,
and_pos: 268000,319000,300000,324000,
implies: 262000,339000,297000,
parsing: 20840000,
subproof: 2066000,2203000,2086000,
and_intro: 257000,
equiv_neg1: 82000,
equiv_neg2: 72000,
equiv_pos1: 129000,113000,
equiv_pos2: 322000,113000,275000,475000,138000,165000,320000,
reordering: 509000,558000,491000,393000,570000,609000,445000,650000,701000,
resolution: 308000,330000,335000,424000,542000,322000,731000,629000,299000,437000,333000,474000,520000,501000,528000,481000,385000,545000,506000,492000,706000,273000,309000,515000,453000,722000,346000,
sko_forall: 1897000,
contraction: 469000,486000,437000,464000,533000,493000,
forall_inst: 1349000,1416000,1483000,1471000,1476000,1409000,
implies_neg1: 390000,465000,484000,
implies_neg2: 349000,365000,453000,
__local_input: 84000,48000,49000,42000,82000,
__normalized_input: 9298000,2049000,1575000,1623000,1841000,1251000,
rare_rewrite_bool-impl-elim: 12292000,
rare_rewrite_bool-double-not-elim: 299000,

