1; Draft.Scratch_smt_check_7_17364; 2026-04-10 13:43:40.596;
bind: 318000,292000,308000,211000,296000,
cong: 184000,153000,88000,106000,167000,88000,118000,141000,74000,109000,84000,109000,121000,90000,183000,
refl: 44000,29000,27000,
symm: 168000,121000,144000,94000,257000,95000,352000,
trans: 218000,264000,226000,201000,220000,138000,284000,289000,
equiv1: 249000,
equiv2: 269000,
implies: 261000,
not_not: 193000,
parsing: 11420000,
subproof: 2065000,
equiv_pos2: 264000,242000,253000,151000,191000,248000,
resolution: 230000,326000,293000,333000,236000,353000,326000,237000,313000,378000,330000,274000,372000,221000,243000,450000,517000,500000,270000,373000,
contraction: 457000,
forall_inst: 1231000,1139000,1298000,1417000,1272000,1167000,1471000,1257000,
implies_neg1: 391000,
implies_neg2: 364000,
__local_input: 83000,
equiv_simplify: 359000,410000,
__normalized_input: 6613000,2246000,1210000,947000,988000,907000,951000,
rare_rewrite_eq-symm: 205000,211000,220000,169000,258000,228000,
rare_rewrite_bool-eq-false: 14564000,11605000,

