1; Draft.Scratch_smt_check_7_16188; 2026-04-10 13:43:35.360;
and: 168000,215000,
bind: 152000,183000,160000,293000,240000,345000,251000,266000,308000,273000,452000,380000,
cong: 209000,85000,53000,152000,134000,121000,79000,148000,153000,148000,151000,139000,201000,232000,317000,138000,81000,291000,212000,
refl: 30000,291000,83000,86000,43000,47000,478000,181000,147000,61000,
symm: 159000,194000,110000,295000,341000,
trans: 204000,201000,225000,139000,95000,66000,160000,134000,157000,177000,246000,144000,145000,205000,199000,360000,345000,401000,266000,167000,127000,291000,219000,242000,281000,455000,233000,
choice: 73000,
equiv1: 137000,
equiv2: 106000,
not_or: 336000,228000,
or_neg: 144000,165000,142000,257000,281000,228000,
or_pos: 189000,358000,
implies: 301000,
not_not: 187000,109000,
parsing: 58838000,
aci_simp: 884000,1111000,1789000,1788000,
evaluate: 207000,262000,
onepoint: 1162000,1621000,
qnt_join: 198000,393000,
subproof: 2780000,
equiv_pos2: 218000,127000,174000,470000,241000,266000,358000,
reordering: 193000,260000,371000,491000,
resolution: 209000,307000,200000,152000,149000,175000,212000,206000,156000,243000,277000,188000,152000,266000,255000,415000,388000,410000,530000,577000,591000,347000,442000,
sko_forall: 2091000,
contraction: 224000,438000,537000,
forall_inst: 772000,1328000,
implies_neg1: 437000,
implies_neg2: 446000,
__local_input: 84000,
qnt_rm_unused: 276000,1331000,479000,1920000,
connective_def: 269000,438000,
equiv_simplify: 178000,210000,
__normalized_input: 1824000,1363000,1223000,1281000,
miniscope_distribute: 421000,779000,
rare_rewrite_eq-refl: 63000,103000,
rare_rewrite_or-not-refl: 6448000,11483000,
rare_rewrite_bool-impl-elim: 6495000,11650000,
rare_rewrite_bool-and-de-morgan: 6561000,26944000,
rare_rewrite_bool-or-and-distrib: 7008000,11974000,
rare_rewrite_bool-double-not-elim: 98000,227000,
rare_rewrite_bool-implies-de-morgan: 6229000,11500000,

