1; Draft.Scratch_smt_check_7_31014; 2026-04-10 13:44:37.138;
cong: 210000,110000,90000,91000,111000,
symm: 187000,192000,
trans: 282000,
and_neg: 734000,
and_pos: 583000,572000,541000,573000,561000,
implies: 208000,615000,
parsing: 3111000,
subproof: 1929000,2511000,
equiv_pos2: 250000,
reordering: 1062000,2926000,
resolution: 440000,254000,376000,417000,401000,274000,295000,306000,1157000,847000,709000,2496000,337000,303000,324000,
contraction: 328000,876000,1132000,
forall_inst: 1103000,1268000,1311000,1311000,1218000,1361000,
implies_neg1: 303000,1041000,
implies_neg2: 276000,749000,
__local_input: 66000,56000,66000,43000,44000,60000,
__normalized_input: 1610000,1041000,887000,867000,1012000,
rare_rewrite_eq-symm: 212000,

