1; Draft.Scratch_smt_check_7_4596; 2026-04-10 13:46:19.953;
bind: 350000,590000,643000,574000,
cong: 204000,256000,328000,286000,893000,737000,289000,
refl: 56000,88000,116000,
symm: 335000,
trans: 286000,236000,252000,544000,454000,473000,
or_pos: 883000,
implies: 813000,
parsing: 22146000,
aci_simp: 1338000,2325000,
subproof: 3911000,
equiv_pos2: 487000,469000,1217000,
reordering: 1485000,
resolution: 275000,334000,731000,917000,1159000,1251000,680000,518000,
contraction: 1244000,
forall_inst: 1947000,
implies_neg1: 1044000,
implies_neg2: 1329000,
__local_input: 166000,
__normalized_input: 1817000,1368000,978000,1218000,
rare_rewrite_eq-symm: 226000,221000,436000,506000,
rare_rewrite_bool-impl-elim: 12276000,12297000,
rare_rewrite_bool-and-de-morgan: 27489000,11841000,

