1; Draft.Scratch_smt_check_7_1187; 2026-04-10 13:50:39.745;
bind: 716000,
cong: 296000,200000,
refl: 112000,39000,
trans: 586000,571000,
not_or: 385000,417000,
or_neg: 236000,243000,269000,
or_pos: 453000,372000,
parsing: 1633000,
aci_simp: 2259000,
equiv_pos2: 426000,47000,160000,
reordering: 519000,595000,427000,
resolution: 591000,656000,696000,593000,604000,961000,533000,
contraction: 414000,
forall_inst: 1695000,
__normalized_input: 3470000,3464000,4057000,4334000,3642000,
rare_rewrite_bool-impl-elim: 12577000,
rare_rewrite_bool-and-de-morgan: 11486000,
rare_rewrite_bool-double-not-elim: 170000,

