1; Draft.Scratch_smt_check_7_18654; 2026-04-10 13:50:54.859;
bind: 459000,476000,487000,250000,
cong: 206000,
refl: 71000,
trans: 401000,430000,
or_pos: 500000,221000,232000,336000,
parsing: 1625000,
aci_simp: 2219000,
equiv_pos2: 250000,201000,125000,101000,
reordering: 520000,293000,260000,379000,
resolution: 555000,637000,551000,442000,497000,576000,472000,506000,563000,224000,257000,339000,
forall_inst: 1648000,1488000,929000,903000,
__normalized_input: 4147000,3136000,2835000,2756000,2891000,2931000,
rare_rewrite_bool-impl-elim: 12278000,12456000,8550000,6654000,
rare_rewrite_bool-and-de-morgan: 13833000,

