1; Draft.Scratch_smt_check_7_28522; 2026-04-10 13:44:10.954;
bind: 230000,259000,204000,
cong: 84000,126000,99000,73000,160000,92000,100000,84000,
refl: 65000,452000,43000,43000,
trans: 233000,159000,160000,173000,167000,158000,101000,207000,238000,188000,
implies: 193000,
parsing: 3014000,
aci_simp: 1667000,1839000,
evaluate: 268000,
onepoint: 1556000,
subproof: 2297000,
equiv_pos2: 98000,123000,109000,115000,
reordering: 435000,307000,439000,
resolution: 230000,331000,362000,305000,273000,274000,360000,371000,224000,279000,277000,299000,
contraction: 318000,
forall_inst: 1230000,1103000,1190000,4344000,1130000,
implies_neg1: 306000,
implies_neg2: 247000,
__local_input: 56000,
__normalized_input: 1828000,1657000,1588000,1050000,
rare_rewrite_eq-refl: 93000,
rare_rewrite_eq-symm: 143000,115000,150000,
rare_rewrite_or-not-refl: 11601000,
rare_rewrite_bool-impl-elim: 11125000,
rare_rewrite_bool-double-not-elim: 176000,

