1; Draft.Scratch_smt_check_7_29028; 2026-04-10 13:45:01.890;
bind: 231000,212000,223000,
cong: 94000,172000,175000,171000,100000,81000,110000,91000,279000,
refl: 43000,49000,
symm: 105000,
false: 53000,
trans: 121000,132000,168000,168000,147000,157000,136000,209000,
equiv1: 114000,
equiv2: 149000,146000,126000,
or_neg: 255000,280000,426000,
implies: 176000,
not_not: 156000,
parsing: 4144000,
evaluate: 305000,
subproof: 1940000,
equiv_pos1: 77000,
equiv_pos2: 152000,148000,223000,154000,266000,61000,52000,
reordering: 366000,283000,
resolution: 187000,312000,225000,283000,243000,218000,334000,452000,378000,377000,220000,333000,201000,223000,259000,245000,407000,560000,648000,258000,
contraction: 294000,502000,
forall_inst: 1167000,1208000,
implies_neg1: 255000,
implies_neg2: 223000,
__local_input: 98000,
equiv_simplify: 320000,371000,244000,251000,
__normalized_input: 1327000,1274000,767000,718000,845000,
rare_rewrite_eq-symm: 148000,97000,165000,150000,113000,166000,110000,108000,178000,
rare_rewrite_bool-double-not-elim: 142000,

