1; Draft.Scratch_smt_check_7_9953; 2026-04-10 13:45:49.727;
bind: 318000,422000,732000,400000,
cong: 144000,315000,379000,387000,325000,224000,182000,
refl: 51000,36000,57000,
trans: 179000,193000,355000,290000,323000,319000,295000,483000,
choice: 39000,86000,
or_neg: 137000,255000,281000,210000,
or_pos: 653000,403000,
implies: 152000,
parsing: 14182000,
aci_simp: 1037000,1491000,1133000,2005000,
subproof: 1910000,
equiv_pos2: 208000,699000,233000,208000,
reordering: 1045000,345000,538000,
resolution: 137000,229000,272000,296000,156000,139000,269000,321000,396000,355000,392000,479000,349000,355000,316000,
sko_forall: 3520000,
contraction: 401000,241000,
forall_inst: 825000,1687000,1087000,
implies_neg1: 201000,
implies_neg2: 194000,
__local_input: 59000,
__normalized_input: 8049000,2060000,1432000,776000,810000,852000,
rare_rewrite_bool-impl-elim: 6144000,11983000,11278000,
rare_rewrite_bool-and-de-morgan: 6068000,6064000,6429000,
rare_rewrite_bool-double-not-elim: 190000,

