1; Draft.Scratch_smt_check_7_28225; 2026-04-10 13:51:49.307;
cong: 123000,124000,77000,89000,297000,
refl: 18000,18000,53000,78000,
symm: 190000,
trans: 214000,
equiv1: 255000,
equiv2: 229000,
or_neg: 300000,307000,332000,
and_neg: 333000,
and_pos: 286000,295000,
implies: 288000,
not_not: 207000,
parsing: 1091000,
subproof: 1709000,
equiv_pos2: 304000,
reordering: 581000,
resolution: 247000,535000,626000,476000,424000,393000,592000,234000,259000,383000,
contraction: 524000,384000,410000,
implies_neg1: 472000,
implies_neg2: 373000,
__local_input: 198000,74000,
equiv_simplify: 316000,315000,
__normalized_input: 875000,1165000,1766000,
rare_rewrite_bool-double-not-elim: 240000,

