1; Draft.Scratch_smt_check_7_7339; 2026-04-10 13:48:00.938;
and: 67000,87000,111000,163000,
bind: 185000,173000,247000,265000,
cong: 87000,152000,161000,436000,437000,370000,428000,261000,238000,153000,116000,110000,125000,215000,136000,140000,133000,
refl: 43000,65000,40000,26000,31000,69000,
symm: 604000,164000,
false: 13000,
trans: 157000,308000,167000,164000,192000,722000,821000,
equiv2: 812000,897000,
or_pos: 199000,443000,578000,616000,
not_not: 564000,
parsing: 17948000,
aci_simp: 1079000,
evaluate: 421000,
equiv_pos2: 107000,160000,274000,85000,476000,540000,68000,
reordering: 242000,579000,910000,1093000,
resolution: 115000,170000,269000,254000,314000,249000,250000,355000,299000,184000,220000,203000,248000,306000,342000,590000,516000,776000,807000,
forall_inst: 898000,907000,760000,1541000,
equiv_simplify: 1002000,1040000,
__normalized_input: 7349000,6060000,3790000,3481000,2127000,1289000,1641000,
rare_rewrite_eq-symm: 108000,752000,827000,
rare_rewrite_bool-impl-elim: 7059000,7065000,21577000,
rare_rewrite_bool-and-de-morgan: 6973000,

