1; Draft.Scratch_smt_check_7_18914; 2026-04-10 13:51:39.960;
cong: 65000,168000,
refl: 35000,51000,
symm: 154000,
trans: 174000,
equiv1: 169000,
equiv2: 148000,
or_neg: 219000,226000,235000,
and_neg: 251000,
and_pos: 199000,184000,
implies: 207000,
not_not: 166000,
parsing: 631000,
subproof: 1153000,
equiv_pos2: 149000,
reordering: 364000,
resolution: 224000,418000,427000,381000,314000,312000,460000,220000,200000,282000,
contraction: 360000,268000,268000,
implies_neg1: 276000,
implies_neg2: 237000,
__local_input: 106000,77000,
equiv_simplify: 233000,248000,
__normalized_input: 2265000,2181000,2148000,
rare_rewrite_bool-double-not-elim: 156000,

