1; Draft.Scratch_smt_check_7_11673; 2026-04-10 13:46:50.131;
and: 114000,193000,97000,93000,100000,97000,
bind: 218000,
cong: 230000,271000,136000,125000,467000,54000,139000,59000,145000,187000,183000,135000,64000,72000,46000,184000,228000,264000,466000,341000,239000,118000,126000,238000,342000,369000,170000,87000,285000,379000,421000,240000,115000,140000,73000,349000,362000,122000,91000,263000,187000,343000,4096000,4456000,2986000,2254000,1304000,1190000,405000,441000,179000,84000,322000,385000,93000,290000,296000,648000,460000,248000,251000,242000,278000,191000,214000,185000,209000,92000,1082000,1109000,647000,665000,339000,368000,218000,219000,274000,309000,137000,126000,98000,180000,192000,134000,382000,410000,221000,223000,180000,183000,140000,157000,171000,118000,109000,58000,42000,107000,90000,85000,312000,
ite2: 242000,
refl: 46000,37000,92000,20000,34000,30000,188000,36000,64000,56000,201000,35000,69000,55000,27000,44000,59000,100000,34000,39000,
symm: 71000,73000,137000,459000,
true: 53000,
trans: 114000,124000,394000,302000,815000,572000,309000,746000,667000,169000,378000,276000,
equiv1: 98000,109000,484000,963000,956000,170000,
equiv2: 407000,78000,92000,215000,
or_neg: 188000,177000,194000,134000,148000,158000,161000,262000,267000,299000,338000,292000,305000,299000,332000,238000,276000,304000,
or_pos: 202000,
and_neg: 1210000,185000,262000,159000,157000,793000,855000,333000,769000,1541000,2488000,308000,232000,306000,551000,
and_pos: 100000,100000,99000,96000,99000,107000,109000,110000,112000,958000,1053000,738000,1047000,985000,727000,243000,229000,251000,220000,353000,254000,130000,
implies: 111000,117000,127000,138000,435000,890000,243000,220000,
not_and: 3167000,
not_not: 102000,208000,
parsing: 117363000,
aci_simp: 1233000,1166000,
subproof: 1044000,1063000,1044000,1094000,2611000,2770000,2091000,1973000,
and_intro: 93000,106000,898000,217000,
equiv_pos1: 109000,148000,
equiv_pos2: 57000,163000,100000,465000,474000,106000,229000,466000,513000,235000,208000,332000,2819000,303000,
reordering: 249000,806000,228000,229000,152000,252000,199000,346000,196000,238000,241000,219000,261000,264000,618000,1420000,2808000,384000,487000,1098000,873000,360000,500000,521000,294000,744000,364000,620000,2865000,458000,194000,1223000,252000,370000,161000,
resolution: 218000,356000,499000,520000,200000,759000,804000,808000,244000,218000,223000,189000,209000,369000,419000,258000,262000,211000,237000,215000,209000,224000,242000,162000,1028000,555000,578000,340000,350000,184000,178000,310000,328000,195000,2847000,430000,404000,369000,372000,325000,326000,219000,222000,366000,201000,238000,232000,370000,164000,143000,192000,271000,219000,225000,340000,148000,232000,223000,353000,159000,159000,285000,341000,596000,597000,492000,1130000,361000,537000,573000,1117000,857000,1780000,546000,560000,357000,601000,624000,545000,428000,406000,721000,259000,406000,415000,699000,263000,271000,397000,426000,469000,534000,1924000,374000,622000,728000,3301000,497000,593000,204000,
contraction: 329000,258000,162000,174000,172000,184000,175000,194000,183000,193000,596000,744000,1210000,1303000,515000,433000,381000,322000,374000,445000,594000,479000,
forall_inst: 789000,1334000,1429000,
implies_neg1: 663000,184000,192000,138000,145000,149000,163000,1496000,1433000,869000,799000,366000,347000,581000,2279000,1084000,118000,
implies_neg2: 1857000,682000,182000,277000,136000,142000,155000,161000,506000,951000,400000,1334000,277000,301000,215000,1137000,2564000,3994000,288000,412000,
__local_input: 18000,18000,18000,39000,18000,18000,18000,38000,106000,119000,37000,125000,175000,56000,34000,41000,34000,61000,
equiv_simplify: 133000,174000,146000,182000,601000,1256000,1216000,335000,468000,
__normalized_input: 7791000,6311000,1665000,1627000,1751000,1803000,5226000,
rare_rewrite_ite-eq: 6805000,
rare_rewrite_eq-refl: 282000,563000,540000,
rare_rewrite_eq-symm: 341000,328000,186000,178000,93000,75000,134000,
rare_rewrite_bool-impl-elim: 6652000,
rare_rewrite_bool-double-not-elim: 97000,243000,220000,307000,118000,

